"climateSegment","speciesName","count"
"e Climate Segment "," Agalinis auriculata",0
"f Climate Segment "," Agalinis auriculata",0
"a Climate Segment "," Agalinis gattingeri",1
"b Climate Segment "," Agalinis gattingeri",0
"c Climate Segment "," Agalinis gattingeri",0
"d Climate Segment "," Agalinis gattingeri",0
"e Climate Segment "," Agalinis gattingeri",0
"f Climate Segment "," Agalinis gattingeri",1
"a Climate Segment "," Agalinis paupercula",9
"b Climate Segment "," Agalinis paupercula",2
"c Climate Segment "," Agalinis paupercula",0
"d Climate Segment "," Agalinis paupercula",0
"e Climate Segment "," Agalinis paupercula",0
"f Climate Segment "," Agalinis paupercula",0
"a Climate Segment "," Agalinis purpurea",12
"b Climate Segment "," Agalinis purpurea",3
"c Climate Segment "," Agalinis purpurea",2
"d Climate Segment "," Agalinis purpurea",1
"e Climate Segment "," Agalinis purpurea",2
"f Climate Segment "," Agalinis purpurea",1
"a Climate Segment "," Agalinis skinneriana",1
"b Climate Segment "," Agalinis skinneriana",0
"c Climate Segment "," Agalinis skinneriana",0
"d Climate Segment "," Agalinis skinneriana",0
"e Climate Segment "," Agalinis skinneriana",0
"f Climate Segment "," Agalinis skinneriana",0
"a Climate Segment "," Agalinis tenuifolia",11
"b Climate Segment "," Agalinis tenuifolia",9
"c Climate Segment "," Agalinis tenuifolia",11
"d Climate Segment "," Agalinis tenuifolia",7
"e Climate Segment "," Agalinis tenuifolia",9
"f Climate Segment "," Agalinis tenuifolia",4
"a Climate Segment "," Agastache nepetoides",4
"b Climate Segment "," Agastache nepetoides",7
"c Climate Segment "," Agastache nepetoides",7
"d Climate Segment "," Agastache nepetoides",5
"e Climate Segment "," Agastache nepetoides",4
"f Climate Segment "," Agastache nepetoides",4
"a Climate Segment "," Agastache scrophulariifolia",6
"b Climate Segment "," Agastache scrophulariifolia",4
"c Climate Segment "," Agastache scrophulariifolia",1
"d Climate Segment "," Agastache scrophulariifolia",2
"e Climate Segment "," Agastache scrophulariifolia",1
"f Climate Segment "," Agastache scrophulariifolia",0
"a Climate Segment "," Ageratina altissima",14
"b Climate Segment "," Ageratina altissima",15
"c Climate Segment "," Ageratina altissima",15
"d Climate Segment "," Ageratina altissima",12
"e Climate Segment "," Ageratina altissima",15
"f Climate Segment "," Ageratina altissima",6
"a Climate Segment "," Agrimonia gryposepala",16
"b Climate Segment "," Agrimonia gryposepala",9
"c Climate Segment "," Agrimonia gryposepala",2
"d Climate Segment "," Agrimonia gryposepala",0
"e Climate Segment "," Agrimonia gryposepala",0
"f Climate Segment "," Agrimonia gryposepala",0
"a Climate Segment "," Agrimonia parviflora",13
"b Climate Segment "," Agrimonia parviflora",5
"c Climate Segment "," Agrimonia parviflora",6
"d Climate Segment "," Agrimonia parviflora",4
"e Climate Segment "," Agrimonia parviflora",8
"f Climate Segment "," Agrimonia parviflora",4
"a Climate Segment "," Agrimonia pubescens",9
"b Climate Segment "," Agrimonia pubescens",9
"c Climate Segment "," Agrimonia pubescens",12
"d Climate Segment "," Agrimonia pubescens",9
"e Climate Segment "," Agrimonia pubescens",5
"f Climate Segment "," Agrimonia pubescens",4
"a Climate Segment "," Agrimonia rostellata",4
"b Climate Segment "," Agrimonia rostellata",4
"c Climate Segment "," Agrimonia rostellata",10
"d Climate Segment "," Agrimonia rostellata",6
"e Climate Segment "," Agrimonia rostellata",10
"f Climate Segment "," Agrimonia rostellata",6
"a Climate Segment "," Agrostis elliottiana",0
"b Climate Segment "," Agrostis elliottiana",1
"c Climate Segment "," Agrostis elliottiana",2
"d Climate Segment "," Agrostis elliottiana",4
"e Climate Segment "," Agrostis elliottiana",13
"f Climate Segment "," Agrostis elliottiana",5
"a Climate Segment "," Agrostis hyemalis",10
"b Climate Segment "," Agrostis hyemalis",2
"c Climate Segment "," Agrostis hyemalis",5
"d Climate Segment "," Agrostis hyemalis",6
"e Climate Segment "," Agrostis hyemalis",12
"f Climate Segment "," Agrostis hyemalis",5
"a Climate Segment "," Agrostis perennans",14
"b Climate Segment "," Agrostis perennans",9
"c Climate Segment "," Agrostis perennans",10
"d Climate Segment "," Agrostis perennans",7
"e Climate Segment "," Agrostis perennans",8
"f Climate Segment "," Agrostis perennans",6
"a Climate Segment "," Agrostis scabra",9
"b Climate Segment "," Agrostis scabra",2
"c Climate Segment "," Agrostis scabra",0
"d Climate Segment "," Agrostis scabra",0
"e Climate Segment "," Agrostis scabra",0
"f Climate Segment "," Agrostis scabra",0
"a Climate Segment "," Aletris farinosa",11
"b Climate Segment "," Aletris farinosa",1
"c Climate Segment "," Aletris farinosa",0
"d Climate Segment "," Aletris farinosa",0
"e Climate Segment "," Aletris farinosa",0
"f Climate Segment "," Aletris farinosa",0
"a Climate Segment "," Alisma subcordatum",9
"b Climate Segment "," Alisma subcordatum",9
"c Climate Segment "," Alisma subcordatum",11
"d Climate Segment "," Alisma subcordatum",5
"e Climate Segment "," Alisma subcordatum",5
"f Climate Segment "," Alisma subcordatum",4
"a Climate Segment "," Alisma triviale",3
"b Climate Segment "," Alisma triviale",0
"c Climate Segment "," Alisma triviale",0
"d Climate Segment "," Alisma triviale",0
"e Climate Segment "," Alisma triviale",0
"f Climate Segment "," Alisma triviale",0
"a Climate Segment "," Allium canadense",4
"b Climate Segment "," Allium canadense",5
"c Climate Segment "," Allium canadense",5
"d Climate Segment "," Allium canadense",2
"e Climate Segment "," Allium canadense",3
"f Climate Segment "," Allium canadense",4
"a Climate Segment "," Allium cernuum",5
"b Climate Segment "," Allium cernuum",8
"c Climate Segment "," Allium cernuum",1
"d Climate Segment "," Allium cernuum",1
"e Climate Segment "," Allium cernuum",5
"f Climate Segment "," Allium cernuum",1
"a Climate Segment "," Allium tricoccum",6
"b Climate Segment "," Allium tricoccum",6
"c Climate Segment "," Allium tricoccum",4
"d Climate Segment "," Allium tricoccum",1
"e Climate Segment "," Allium tricoccum",6
"f Climate Segment "," Allium tricoccum",0
"a Climate Segment "," Alnus incana",6
"b Climate Segment "," Alnus incana",0
"c Climate Segment "," Alnus incana",0
"d Climate Segment "," Alnus incana",0
"e Climate Segment "," Alnus incana",1
"f Climate Segment "," Alnus incana",0
"a Climate Segment "," Alnus serrulata",3
"b Climate Segment "," Alnus serrulata",0
"c Climate Segment "," Alnus serrulata",1
"d Climate Segment "," Alnus serrulata",1
"e Climate Segment "," Alnus serrulata",6
"f Climate Segment "," Alnus serrulata",2
"a Climate Segment "," Alopecurus aequalis",8
"b Climate Segment "," Alopecurus aequalis",5
"c Climate Segment "," Alopecurus aequalis",1
"d Climate Segment "," Alopecurus aequalis",0
"e Climate Segment "," Alopecurus aequalis",0
"f Climate Segment "," Alopecurus aequalis",1
"a Climate Segment "," Alopecurus carolinianus",5
"b Climate Segment "," Alopecurus carolinianus",0
"c Climate Segment "," Alopecurus carolinianus",2
"d Climate Segment "," Alopecurus carolinianus",3
"e Climate Segment "," Alopecurus carolinianus",3
"f Climate Segment "," Alopecurus carolinianus",6
"a Climate Segment "," Amaranthus albus",9
"b Climate Segment "," Amaranthus albus",5
"c Climate Segment "," Amaranthus albus",2
"d Climate Segment "," Amaranthus albus",1
"e Climate Segment "," Amaranthus albus",1
"f Climate Segment "," Amaranthus albus",0
"a Climate Segment "," Amaranthus tuberculatus",9
"b Climate Segment "," Amaranthus tuberculatus",4
"c Climate Segment "," Amaranthus tuberculatus",4
"d Climate Segment "," Amaranthus tuberculatus",4
"e Climate Segment "," Amaranthus tuberculatus",4
"f Climate Segment "," Amaranthus tuberculatus",4
"a Climate Segment "," Ambrosia artemisiifolia",12
"b Climate Segment "," Ambrosia artemisiifolia",10
"c Climate Segment "," Ambrosia artemisiifolia",3
"d Climate Segment "," Ambrosia artemisiifolia",1
"e Climate Segment "," Ambrosia artemisiifolia",1
"f Climate Segment "," Ambrosia artemisiifolia",3
"a Climate Segment "," Ambrosia trifida",10
"b Climate Segment "," Ambrosia trifida",11
"c Climate Segment "," Ambrosia trifida",8
"d Climate Segment "," Ambrosia trifida",4
"e Climate Segment "," Ambrosia trifida",6
"f Climate Segment "," Ambrosia trifida",5
"a Climate Segment "," Amelanchier arborea",4
"b Climate Segment "," Amelanchier arborea",1
"c Climate Segment "," Amelanchier arborea",2
"d Climate Segment "," Amelanchier arborea",0
"e Climate Segment "," Amelanchier arborea",5
"f Climate Segment "," Amelanchier arborea",1
"a Climate Segment "," Amelanchier humilis",3
"b Climate Segment "," Amelanchier humilis",0
"c Climate Segment "," Amelanchier humilis",0
"d Climate Segment "," Amelanchier humilis",0
"e Climate Segment "," Amelanchier humilis",0
"f Climate Segment "," Amelanchier humilis",0
"a Climate Segment "," Amelanchier interior",4
"b Climate Segment "," Amelanchier interior",2
"c Climate Segment "," Amelanchier interior",0
"d Climate Segment "," Amelanchier interior",0
"e Climate Segment "," Amelanchier interior",0
"f Climate Segment "," Amelanchier interior",0
"a Climate Segment "," Amelanchier laevis",9
"b Climate Segment "," Amelanchier laevis",6
"c Climate Segment "," Amelanchier laevis",4
"d Climate Segment "," Amelanchier laevis",3
"e Climate Segment "," Amelanchier laevis",6
"f Climate Segment "," Amelanchier laevis",1
"a Climate Segment "," Amelanchier spicata",3
"b Climate Segment "," Amelanchier spicata",0
"c Climate Segment "," Amelanchier spicata",1
"d Climate Segment "," Amelanchier spicata",0
"e Climate Segment "," Amelanchier spicata",0
"f Climate Segment "," Amelanchier spicata",0
"a Climate Segment "," Ammannia coccinea",0
"b Climate Segment "," Ammannia coccinea",0
"c Climate Segment "," Ammannia coccinea",0
"d Climate Segment "," Ammannia coccinea",3
"e Climate Segment "," Ammannia coccinea",1
"f Climate Segment "," Ammannia coccinea",0
"a Climate Segment "," Ammannia robusta",0
"b Climate Segment "," Ammannia robusta",0
"c Climate Segment "," Ammannia robusta",0
"d Climate Segment "," Ammannia robusta",2
"e Climate Segment "," Ammannia robusta",0
"f Climate Segment "," Ammannia robusta",4
"a Climate Segment "," Ammophila breviligulata",3
"b Climate Segment "," Ammophila breviligulata",0
"c Climate Segment "," Ammophila breviligulata",0
"d Climate Segment "," Ammophila breviligulata",0
"e Climate Segment "," Ammophila breviligulata",0
"f Climate Segment "," Ammophila breviligulata",0
"a Climate Segment "," Amorpha canescens",16
"b Climate Segment "," Amorpha canescens",3
"c Climate Segment "," Amorpha canescens",0
"d Climate Segment "," Amorpha canescens",0
"e Climate Segment "," Amorpha canescens",0
"f Climate Segment "," Amorpha canescens",0
"a Climate Segment "," Amorpha fruticosa",1
"b Climate Segment "," Amorpha fruticosa",0
"c Climate Segment "," Amorpha fruticosa",0
"d Climate Segment "," Amorpha fruticosa",1
"e Climate Segment "," Amorpha fruticosa",5
"f Climate Segment "," Amorpha fruticosa",5
"a Climate Segment "," Ampelopsis cordata",0
"b Climate Segment "," Ampelopsis cordata",0
"c Climate Segment "," Ampelopsis cordata",0
"d Climate Segment "," Ampelopsis cordata",5
"e Climate Segment "," Ampelopsis cordata",4
"f Climate Segment "," Ampelopsis cordata",6
"a Climate Segment "," Amphicarpaea bracteata",10
"b Climate Segment "," Amphicarpaea bracteata",9
"c Climate Segment "," Amphicarpaea bracteata",7
"d Climate Segment "," Amphicarpaea bracteata",6
"e Climate Segment "," Amphicarpaea bracteata",7
"f Climate Segment "," Amphicarpaea bracteata",5
"a Climate Segment "," Amsonia tabernaemontana",0
"b Climate Segment "," Amsonia tabernaemontana",0
"c Climate Segment "," Amsonia tabernaemontana",0
"d Climate Segment "," Amsonia tabernaemontana",2
"e Climate Segment "," Amsonia tabernaemontana",2
"f Climate Segment "," Amsonia tabernaemontana",3
"a Climate Segment "," Anaphalis margaritacea",1
"b Climate Segment "," Anaphalis margaritacea",0
"c Climate Segment "," Anaphalis margaritacea",0
"d Climate Segment "," Anaphalis margaritacea",0
"e Climate Segment "," Anaphalis margaritacea",0
"f Climate Segment "," Anaphalis margaritacea",0
"a Climate Segment "," Andromeda polifolia",5
"b Climate Segment "," Andromeda polifolia",4
"c Climate Segment "," Andromeda polifolia",0
"d Climate Segment "," Andromeda polifolia",0
"e Climate Segment "," Andromeda polifolia",0
"f Climate Segment "," Andromeda polifolia",0
"a Climate Segment "," Andropogon gerardi",17
"b Climate Segment "," Andropogon gerardi",13
"c Climate Segment "," Andropogon gerardi",7
"d Climate Segment "," Andropogon gerardi",6
"e Climate Segment "," Andropogon gerardi",5
"f Climate Segment "," Andropogon gerardi",3
"a Climate Segment "," Andropogon gyrans",0
"b Climate Segment "," Andropogon gyrans",0
"c Climate Segment "," Andropogon gyrans",0
"d Climate Segment "," Andropogon gyrans",0
"e Climate Segment "," Andropogon gyrans",4
"f Climate Segment "," Andropogon gyrans",3
"a Climate Segment "," Andropogon virginicus",0
"b Climate Segment "," Andropogon virginicus",0
"c Climate Segment "," Andropogon virginicus",5
"d Climate Segment "," Andropogon virginicus",5
"e Climate Segment "," Andropogon virginicus",12
"f Climate Segment "," Andropogon virginicus",7
"a Climate Segment "," Androsace occidentalis",0
"b Climate Segment "," Androsace occidentalis",1
"c Climate Segment "," Androsace occidentalis",0
"d Climate Segment "," Androsace occidentalis",0
"e Climate Segment "," Androsace occidentalis",0
"f Climate Segment "," Androsace occidentalis",0
"a Climate Segment "," Anemone acutiloba",5
"b Climate Segment "," Anemone acutiloba",12
"c Climate Segment "," Anemone acutiloba",9
"d Climate Segment "," Anemone acutiloba",4
"e Climate Segment "," Anemone acutiloba",9
"f Climate Segment "," Anemone acutiloba",3
"a Climate Segment "," Anemone americana",12
"b Climate Segment "," Anemone americana",5
"c Climate Segment "," Anemone americana",1
"d Climate Segment "," Anemone americana",0
"e Climate Segment "," Anemone americana",0
"f Climate Segment "," Anemone americana",0
"a Climate Segment "," Anemone canadensis",13
"b Climate Segment "," Anemone canadensis",8
"c Climate Segment "," Anemone canadensis",7
"d Climate Segment "," Anemone canadensis",3
"e Climate Segment "," Anemone canadensis",2
"f Climate Segment "," Anemone canadensis",2
"a Climate Segment "," Anemone cylindrica",17
"b Climate Segment "," Anemone cylindrica",2
"c Climate Segment "," Anemone cylindrica",0
"d Climate Segment "," Anemone cylindrica",0
"e Climate Segment "," Anemone cylindrica",0
"f Climate Segment "," Anemone cylindrica",0
"a Climate Segment "," Anemone quinquefolia",10
"b Climate Segment "," Anemone quinquefolia",6
"c Climate Segment "," Anemone quinquefolia",4
"d Climate Segment "," Anemone quinquefolia",0
"e Climate Segment "," Anemone quinquefolia",1
"f Climate Segment "," Anemone quinquefolia",0
"a Climate Segment "," Anemone virginiana",15
"b Climate Segment "," Anemone virginiana",13
"c Climate Segment "," Anemone virginiana",14
"d Climate Segment "," Anemone virginiana",12
"e Climate Segment "," Anemone virginiana",11
"f Climate Segment "," Anemone virginiana",6
"a Climate Segment "," Angelica atropurpurea",9
"b Climate Segment "," Angelica atropurpurea",4
"c Climate Segment "," Angelica atropurpurea",4
"d Climate Segment "," Angelica atropurpurea",1
"e Climate Segment "," Angelica atropurpurea",0
"f Climate Segment "," Angelica atropurpurea",0
"a Climate Segment "," Angelica venenosa",1
"b Climate Segment "," Angelica venenosa",0
"c Climate Segment "," Angelica venenosa",0
"d Climate Segment "," Angelica venenosa",2
"e Climate Segment "," Angelica venenosa",5
"f Climate Segment "," Angelica venenosa",2
"a Climate Segment "," Antennaria howellii",3
"b Climate Segment "," Antennaria howellii",1
"c Climate Segment "," Antennaria howellii",0
"d Climate Segment "," Antennaria howellii",0
"e Climate Segment "," Antennaria howellii",0
"f Climate Segment "," Antennaria howellii",1
"a Climate Segment "," Antennaria neglecta",9
"b Climate Segment "," Antennaria neglecta",8
"c Climate Segment "," Antennaria neglecta",9
"d Climate Segment "," Antennaria neglecta",4
"e Climate Segment "," Antennaria neglecta",9
"f Climate Segment "," Antennaria neglecta",2
"a Climate Segment "," Antennaria parlinii",16
"b Climate Segment "," Antennaria parlinii",13
"c Climate Segment "," Antennaria parlinii",12
"d Climate Segment "," Antennaria parlinii",10
"e Climate Segment "," Antennaria parlinii",13
"f Climate Segment "," Antennaria parlinii",4
"a Climate Segment "," Antennaria plantaginifolia",0
"b Climate Segment "," Antennaria plantaginifolia",0
"c Climate Segment "," Antennaria plantaginifolia",0
"d Climate Segment "," Antennaria plantaginifolia",0
"e Climate Segment "," Antennaria plantaginifolia",1
"f Climate Segment "," Antennaria plantaginifolia",1
"a Climate Segment "," Antennaria solitaria",0
"b Climate Segment "," Antennaria solitaria",0
"c Climate Segment "," Antennaria solitaria",1
"d Climate Segment "," Antennaria solitaria",0
"e Climate Segment "," Antennaria solitaria",2
"f Climate Segment "," Antennaria solitaria",0
"a Climate Segment "," Anthoxanthum hirtum",5
"b Climate Segment "," Anthoxanthum hirtum",1
"c Climate Segment "," Anthoxanthum hirtum",0
"d Climate Segment "," Anthoxanthum hirtum",0
"e Climate Segment "," Anthoxanthum hirtum",0
"f Climate Segment "," Anthoxanthum hirtum",0
"a Climate Segment "," Apios americana",11
"b Climate Segment "," Apios americana",4
"c Climate Segment "," Apios americana",2
"d Climate Segment "," Apios americana",0
"e Climate Segment "," Apios americana",4
"f Climate Segment "," Apios americana",3
"a Climate Segment "," Aplectrum hyemale",1
"b Climate Segment "," Aplectrum hyemale",3
"c Climate Segment "," Aplectrum hyemale",1
"d Climate Segment "," Aplectrum hyemale",2
"e Climate Segment "," Aplectrum hyemale",5
"f Climate Segment "," Aplectrum hyemale",2
"a Climate Segment "," Apocynum androsaemifolium",14
"b Climate Segment "," Apocynum androsaemifolium",6
"c Climate Segment "," Apocynum androsaemifolium",2
"d Climate Segment "," Apocynum androsaemifolium",0
"e Climate Segment "," Apocynum androsaemifolium",0
"f Climate Segment "," Apocynum androsaemifolium",0
"a Climate Segment "," Apocynum cannabinum",13
"b Climate Segment "," Apocynum cannabinum",12
"c Climate Segment "," Apocynum cannabinum",11
"d Climate Segment "," Apocynum cannabinum",6
"e Climate Segment "," Apocynum cannabinum",14
"f Climate Segment "," Apocynum cannabinum",6
"a Climate Segment "," Aquilegia canadensis",13
"b Climate Segment "," Aquilegia canadensis",12
"c Climate Segment "," Aquilegia canadensis",2
"d Climate Segment "," Aquilegia canadensis",4
"e Climate Segment "," Aquilegia canadensis",6
"f Climate Segment "," Aquilegia canadensis",2
"a Climate Segment "," Arabidopsis lyrata",7
"b Climate Segment "," Arabidopsis lyrata",0
"c Climate Segment "," Arabidopsis lyrata",0
"d Climate Segment "," Arabidopsis lyrata",0
"e Climate Segment "," Arabidopsis lyrata",0
"f Climate Segment "," Arabidopsis lyrata",0
"a Climate Segment "," Arabis patens",0
"b Climate Segment "," Arabis patens",0
"c Climate Segment "," Arabis patens",0
"d Climate Segment "," Arabis patens",0
"e Climate Segment "," Arabis patens",1
"f Climate Segment "," Arabis patens",1
"a Climate Segment "," Arabis pycnocarpa",6
"b Climate Segment "," Arabis pycnocarpa",6
"c Climate Segment "," Arabis pycnocarpa",1
"d Climate Segment "," Arabis pycnocarpa",1
"e Climate Segment "," Arabis pycnocarpa",1
"f Climate Segment "," Arabis pycnocarpa",1
"a Climate Segment "," Aralia hispida",3
"b Climate Segment "," Aralia hispida",0
"c Climate Segment "," Aralia hispida",0
"d Climate Segment "," Aralia hispida",0
"e Climate Segment "," Aralia hispida",0
"f Climate Segment "," Aralia hispida",0
"a Climate Segment "," Aralia nudicaulis",10
"b Climate Segment "," Aralia nudicaulis",4
"c Climate Segment "," Aralia nudicaulis",0
"d Climate Segment "," Aralia nudicaulis",0
"e Climate Segment "," Aralia nudicaulis",0
"f Climate Segment "," Aralia nudicaulis",0
"a Climate Segment "," Aralia racemosa",7
"b Climate Segment "," Aralia racemosa",6
"c Climate Segment "," Aralia racemosa",9
"d Climate Segment "," Aralia racemosa",3
"e Climate Segment "," Aralia racemosa",7
"f Climate Segment "," Aralia racemosa",2
"a Climate Segment "," Aralia spinosa",0
"b Climate Segment "," Aralia spinosa",0
"c Climate Segment "," Aralia spinosa",0
"d Climate Segment "," Aralia spinosa",1
"e Climate Segment "," Aralia spinosa",11
"f Climate Segment "," Aralia spinosa",3
"a Climate Segment "," Arctostaphylos uva-ursi",3
"b Climate Segment "," Arctostaphylos uva-ursi",0
"c Climate Segment "," Arctostaphylos uva-ursi",0
"d Climate Segment "," Arctostaphylos uva-ursi",0
"e Climate Segment "," Arctostaphylos uva-ursi",0
"f Climate Segment "," Arctostaphylos uva-ursi",0
"a Climate Segment "," Arenaria serpyllifolia",8
"b Climate Segment "," Arenaria serpyllifolia",2
"c Climate Segment "," Arenaria serpyllifolia",1
"d Climate Segment "," Arenaria serpyllifolia",2
"e Climate Segment "," Arenaria serpyllifolia",4
"f Climate Segment "," Arenaria serpyllifolia",1
"a Climate Segment "," Arethusa bulbosa",1
"b Climate Segment "," Arethusa bulbosa",1
"c Climate Segment "," Arethusa bulbosa",0
"d Climate Segment "," Arethusa bulbosa",0
"e Climate Segment "," Arethusa bulbosa",0
"f Climate Segment "," Arethusa bulbosa",0
"a Climate Segment "," Argentina anserina",2
"b Climate Segment "," Argentina anserina",0
"c Climate Segment "," Argentina anserina",0
"d Climate Segment "," Argentina anserina",0
"e Climate Segment "," Argentina anserina",0
"f Climate Segment "," Argentina anserina",0
"a Climate Segment "," Arisaema dracontium",7
"b Climate Segment "," Arisaema dracontium",9
"c Climate Segment "," Arisaema dracontium",5
"d Climate Segment "," Arisaema dracontium",8
"e Climate Segment "," Arisaema dracontium",9
"f Climate Segment "," Arisaema dracontium",4
"a Climate Segment "," Arisaema triphyllum",11
"b Climate Segment "," Arisaema triphyllum",12
"c Climate Segment "," Arisaema triphyllum",14
"d Climate Segment "," Arisaema triphyllum",12
"e Climate Segment "," Arisaema triphyllum",13
"f Climate Segment "," Arisaema triphyllum",4
"a Climate Segment "," Aristida dichotoma",0
"b Climate Segment "," Aristida dichotoma",0
"c Climate Segment "," Aristida dichotoma",2
"d Climate Segment "," Aristida dichotoma",2
"e Climate Segment "," Aristida dichotoma",11
"f Climate Segment "," Aristida dichotoma",5
"a Climate Segment "," Aristida longespica",5
"b Climate Segment "," Aristida longespica",1
"c Climate Segment "," Aristida longespica",2
"d Climate Segment "," Aristida longespica",5
"e Climate Segment "," Aristida longespica",9
"f Climate Segment "," Aristida longespica",5
"a Climate Segment "," Aristida oligantha",3
"b Climate Segment "," Aristida oligantha",1
"c Climate Segment "," Aristida oligantha",4
"d Climate Segment "," Aristida oligantha",7
"e Climate Segment "," Aristida oligantha",15
"f Climate Segment "," Aristida oligantha",6
"a Climate Segment "," Aristida purpurascens",13
"b Climate Segment "," Aristida purpurascens",1
"c Climate Segment "," Aristida purpurascens",0
"d Climate Segment "," Aristida purpurascens",0
"e Climate Segment "," Aristida purpurascens",1
"f Climate Segment "," Aristida purpurascens",1
"a Climate Segment "," Aristida ramosissima",0
"b Climate Segment "," Aristida ramosissima",0
"c Climate Segment "," Aristida ramosissima",0
"d Climate Segment "," Aristida ramosissima",2
