"","climateSegment","speciesName","count"
"339","c Climate Segment "," Ammannia robusta",0
"340","d Climate Segment "," Ammannia robusta",2
"341","e Climate Segment "," Ammannia robusta",0
"342","f Climate Segment "," Ammannia robusta",4
"349","a Climate Segment "," Amorpha canescens",16
"350","b Climate Segment "," Amorpha canescens",3
"351","c Climate Segment "," Amorpha canescens",0
"352","d Climate Segment "," Amorpha canescens",0
"353","e Climate Segment "," Amorpha canescens",0
"354","f Climate Segment "," Amorpha canescens",0
"355","a Climate Segment "," Amorpha fruticosa",1
"356","b Climate Segment "," Amorpha fruticosa",0
"357","c Climate Segment "," Amorpha fruticosa",0
"358","d Climate Segment "," Amorpha fruticosa",1
"359","e Climate Segment "," Amorpha fruticosa",5
"360","f Climate Segment "," Amorpha fruticosa",5
"361","a Climate Segment "," Ampelopsis cordata",0
"362","b Climate Segment "," Ampelopsis cordata",0
"363","c Climate Segment "," Ampelopsis cordata",0
"364","d Climate Segment "," Ampelopsis cordata",5
"365","e Climate Segment "," Ampelopsis cordata",4
"366","f Climate Segment "," Ampelopsis cordata",6
"373","a Climate Segment "," Amsonia tabernaemontana",0
"374","b Climate Segment "," Amsonia tabernaemontana",0
"375","c Climate Segment "," Amsonia tabernaemontana",0
"376","d Climate Segment "," Amsonia tabernaemontana",2
"377","e Climate Segment "," Amsonia tabernaemontana",2
"378","f Climate Segment "," Amsonia tabernaemontana",3
"385","a Climate Segment "," Andromeda polifolia",5
"386","b Climate Segment "," Andromeda polifolia",4
"387","c Climate Segment "," Andromeda polifolia",0
"388","d Climate Segment "," Andromeda polifolia",0
"389","e Climate Segment "," Andromeda polifolia",0
"390","f Climate Segment "," Andromeda polifolia",0
"397","a Climate Segment "," Andropogon gyrans",0
"398","b Climate Segment "," Andropogon gyrans",0
"399","c Climate Segment "," Andropogon gyrans",0
"400","d Climate Segment "," Andropogon gyrans",0
"401","e Climate Segment "," Andropogon gyrans",4
"402","f Climate Segment "," Andropogon gyrans",3
"403","a Climate Segment "," Andropogon virginicus",0
"404","b Climate Segment "," Andropogon virginicus",0
"405","c Climate Segment "," Andropogon virginicus",5
"406","d Climate Segment "," Andropogon virginicus",5
"407","e Climate Segment "," Andropogon virginicus",12
"408","f Climate Segment "," Andropogon virginicus",7
"421","a Climate Segment "," Anemone americana",12
"422","b Climate Segment "," Anemone americana",5
"423","c Climate Segment "," Anemone americana",1
"424","d Climate Segment "," Anemone americana",0
"425","e Climate Segment "," Anemone americana",0
"426","f Climate Segment "," Anemone americana",0
"433","a Climate Segment "," Anemone cylindrica",17
"434","b Climate Segment "," Anemone cylindrica",2
"435","c Climate Segment "," Anemone cylindrica",0
"436","d Climate Segment "," Anemone cylindrica",0
"437","e Climate Segment "," Anemone cylindrica",0
"438","f Climate Segment "," Anemone cylindrica",0
"439","a Climate Segment "," Anemone quinquefolia",10
"440","b Climate Segment "," Anemone quinquefolia",6
"441","c Climate Segment "," Anemone quinquefolia",4
"442","d Climate Segment "," Anemone quinquefolia",0
"443","e Climate Segment "," Anemone quinquefolia",1
"444","f Climate Segment "," Anemone quinquefolia",0
"457","a Climate Segment "," Angelica venenosa",1
"458","b Climate Segment "," Angelica venenosa",0
"459","c Climate Segment "," Angelica venenosa",0
"460","d Climate Segment "," Angelica venenosa",2
"461","e Climate Segment "," Angelica venenosa",5
"462","f Climate Segment "," Angelica venenosa",2
"499","a Climate Segment "," Apios americana",11
"500","b Climate Segment "," Apios americana",4
"501","c Climate Segment "," Apios americana",2
"502","d Climate Segment "," Apios americana",0
"503","e Climate Segment "," Apios americana",4
"504","f Climate Segment "," Apios americana",3
"511","a Climate Segment "," Apocynum androsaemifolium",14
"512","b Climate Segment "," Apocynum androsaemifolium",6
"513","c Climate Segment "," Apocynum androsaemifolium",2
"514","d Climate Segment "," Apocynum androsaemifolium",0
"515","e Climate Segment "," Apocynum androsaemifolium",0
"516","f Climate Segment "," Apocynum androsaemifolium",0
"529","a Climate Segment "," Arabidopsis lyrata",7
"530","b Climate Segment "," Arabidopsis lyrata",0
"531","c Climate Segment "," Arabidopsis lyrata",0
"532","d Climate Segment "," Arabidopsis lyrata",0
"533","e Climate Segment "," Arabidopsis lyrata",0
"534","f Climate Segment "," Arabidopsis lyrata",0
"553","a Climate Segment "," Aralia nudicaulis",10
"554","b Climate Segment "," Aralia nudicaulis",4
"555","c Climate Segment "," Aralia nudicaulis",0
"556","d Climate Segment "," Aralia nudicaulis",0
"557","e Climate Segment "," Aralia nudicaulis",0
"558","f Climate Segment "," Aralia nudicaulis",0
"565","a Climate Segment "," Aralia spinosa",0
"566","b Climate Segment "," Aralia spinosa",0
"567","c Climate Segment "," Aralia spinosa",0
"568","d Climate Segment "," Aralia spinosa",1
"569","e Climate Segment "," Aralia spinosa",11
"570","f Climate Segment "," Aralia spinosa",3
"607","a Climate Segment "," Aristida dichotoma",0
"608","b Climate Segment "," Aristida dichotoma",0
"609","c Climate Segment "," Aristida dichotoma",2
"610","d Climate Segment "," Aristida dichotoma",2
"611","e Climate Segment "," Aristida dichotoma",11
"612","f Climate Segment "," Aristida dichotoma",5
"613","a Climate Segment "," Aristida longespica",5
"614","b Climate Segment "," Aristida longespica",1
"615","c Climate Segment "," Aristida longespica",2
"616","d Climate Segment "," Aristida longespica",5
"617","e Climate Segment "," Aristida longespica",9
"618","f Climate Segment "," Aristida longespica",5
"619","a Climate Segment "," Aristida oligantha",3
"620","b Climate Segment "," Aristida oligantha",1
"621","c Climate Segment "," Aristida oligantha",4
"622","d Climate Segment "," Aristida oligantha",7
"623","e Climate Segment "," Aristida oligantha",15
"624","f Climate Segment "," Aristida oligantha",6
"625","a Climate Segment "," Aristida purpurascens",13
"626","b Climate Segment "," Aristida purpurascens",1
"627","c Climate Segment "," Aristida purpurascens",0
"628","d Climate Segment "," Aristida purpurascens",0
"629","e Climate Segment "," Aristida purpurascens",1
"630","f Climate Segment "," Aristida purpurascens",1
"631","a Climate Segment "," Aristida ramosissima",0
"632","b Climate Segment "," Aristida ramosissima",0
"633","c Climate Segment "," Aristida ramosissima",0
"634","d Climate Segment "," Aristida ramosissima",2
"635","e Climate Segment "," Aristida ramosissima",4
"636","f Climate Segment "," Aristida ramosissima",2
"649","a Climate Segment "," Arnoglossum plantagineum",10
"650","b Climate Segment "," Arnoglossum plantagineum",2
"651","c Climate Segment "," Arnoglossum plantagineum",2
"652","d Climate Segment "," Arnoglossum plantagineum",1
"653","e Climate Segment "," Arnoglossum plantagineum",0
"654","f Climate Segment "," Arnoglossum plantagineum",0
"655","a Climate Segment "," Arnoglossum reniforme",0
"656","b Climate Segment "," Arnoglossum reniforme",2
"657","c Climate Segment "," Arnoglossum reniforme",2
"658","d Climate Segment "," Arnoglossum reniforme",3
"659","e Climate Segment "," Arnoglossum reniforme",6
"660","f Climate Segment "," Arnoglossum reniforme",4
"661","a Climate Segment "," Aronia melanocarpa",14
"662","b Climate Segment "," Aronia melanocarpa",4
"663","c Climate Segment "," Aronia melanocarpa",2
"664","d Climate Segment "," Aronia melanocarpa",1
"665","e Climate Segment "," Aronia melanocarpa",6
"666","f Climate Segment "," Aronia melanocarpa",1
"673","a Climate Segment "," Artemisia campestris",11
"674","b Climate Segment "," Artemisia campestris",1
"675","c Climate Segment "," Artemisia campestris",0
"676","d Climate Segment "," Artemisia campestris",0
"677","e Climate Segment "," Artemisia campestris",0
"678","f Climate Segment "," Artemisia campestris",0
"685","a Climate Segment "," Aruncus dioicus",0
"686","b Climate Segment "," Aruncus dioicus",0
"687","c Climate Segment "," Aruncus dioicus",1
"688","d Climate Segment "," Aruncus dioicus",3
"689","e Climate Segment "," Aruncus dioicus",8
"690","f Climate Segment "," Aruncus dioicus",3
"691","a Climate Segment "," Arundinaria gigantea",0
"692","b Climate Segment "," Arundinaria gigantea",0
"693","c Climate Segment "," Arundinaria gigantea",0
"694","d Climate Segment "," Arundinaria gigantea",1
"695","e Climate Segment "," Arundinaria gigantea",4
"696","f Climate Segment "," Arundinaria gigantea",6
"703","a Climate Segment "," Asclepias amplexicaulis",12
"704","b Climate Segment "," Asclepias amplexicaulis",0
"705","c Climate Segment "," Asclepias amplexicaulis",0
"706","d Climate Segment "," Asclepias amplexicaulis",2
"707","e Climate Segment "," Asclepias amplexicaulis",3
"708","f Climate Segment "," Asclepias amplexicaulis",2
"715","a Climate Segment "," Asclepias hirtella",11
"716","b Climate Segment "," Asclepias hirtella",3
"717","c Climate Segment "," Asclepias hirtella",0
"718","d Climate Segment "," Asclepias hirtella",3
"719","e Climate Segment "," Asclepias hirtella",0
"720","f Climate Segment "," Asclepias hirtella",1
"727","a Climate Segment "," Asclepias perennis",0
"728","b Climate Segment "," Asclepias perennis",0
"729","c Climate Segment "," Asclepias perennis",0
"730","d Climate Segment "," Asclepias perennis",1
"731","e Climate Segment "," Asclepias perennis",5
"732","f Climate Segment "," Asclepias perennis",4
"733","a Climate Segment "," Asclepias purpurascens",10
"734","b Climate Segment "," Asclepias purpurascens",3
"735","c Climate Segment "," Asclepias purpurascens",1
"736","d Climate Segment "," Asclepias purpurascens",4
"737","e Climate Segment "," Asclepias purpurascens",4
"738","f Climate Segment "," Asclepias purpurascens",7
"739","a Climate Segment "," Asclepias quadrifolia",0
"740","b Climate Segment "," Asclepias quadrifolia",1
"741","c Climate Segment "," Asclepias quadrifolia",1
"742","d Climate Segment "," Asclepias quadrifolia",4
"743","e Climate Segment "," Asclepias quadrifolia",11
"744","f Climate Segment "," Asclepias quadrifolia",1
"763","a Climate Segment "," Asclepias variegata",0
"764","b Climate Segment "," Asclepias variegata",0
"765","c Climate Segment "," Asclepias variegata",0
"766","d Climate Segment "," Asclepias variegata",1
"767","e Climate Segment "," Asclepias variegata",2
"768","f Climate Segment "," Asclepias variegata",5
"769","a Climate Segment "," Asclepias verticillata",16
"770","b Climate Segment "," Asclepias verticillata",6
"771","c Climate Segment "," Asclepias verticillata",3
"772","d Climate Segment "," Asclepias verticillata",1
"773","e Climate Segment "," Asclepias verticillata",4
"774","f Climate Segment "," Asclepias verticillata",4
"775","a Climate Segment "," Asclepias viridiflora",8
"776","b Climate Segment "," Asclepias viridiflora",2
"777","c Climate Segment "," Asclepias viridiflora",0
"778","d Climate Segment "," Asclepias viridiflora",0
"779","e Climate Segment "," Asclepias viridiflora",0
"780","f Climate Segment "," Asclepias viridiflora",1
"793","a Climate Segment "," Asplenium platyneuron",0
"794","b Climate Segment "," Asplenium platyneuron",1
"795","c Climate Segment "," Asplenium platyneuron",7
"796","d Climate Segment "," Asplenium platyneuron",4
"797","e Climate Segment "," Asplenium platyneuron",7
"798","f Climate Segment "," Asplenium platyneuron",7
"799","a Climate Segment "," Asplenium rhizophyllum",0
"800","b Climate Segment "," Asplenium rhizophyllum",6
"801","c Climate Segment "," Asplenium rhizophyllum",4
"802","d Climate Segment "," Asplenium rhizophyllum",4
"803","e Climate Segment "," Asplenium rhizophyllum",9
"804","f Climate Segment "," Asplenium rhizophyllum",4
"817","a Climate Segment "," Astragalus canadensis",11
"818","b Climate Segment "," Astragalus canadensis",2
"819","c Climate Segment "," Astragalus canadensis",0
"820","d Climate Segment "," Astragalus canadensis",1
"821","e Climate Segment "," Astragalus canadensis",4
"822","f Climate Segment "," Astragalus canadensis",5
"835","a Climate Segment "," Aureolaria pedicularia",13
"836","b Climate Segment "," Aureolaria pedicularia",0
"837","c Climate Segment "," Aureolaria pedicularia",0
"838","d Climate Segment "," Aureolaria pedicularia",0
"839","e Climate Segment "," Aureolaria pedicularia",0
"840","f Climate Segment "," Aureolaria pedicularia",0
"841","a Climate Segment "," Aureolaria virginica",5
"842","b Climate Segment "," Aureolaria virginica",0
"843","c Climate Segment "," Aureolaria virginica",0
"844","d Climate Segment "," Aureolaria virginica",0
"845","e Climate Segment "," Aureolaria virginica",1
"846","f Climate Segment "," Aureolaria virginica",2
"859","a Climate Segment "," Baptisia alba",14
"860","b Climate Segment "," Baptisia alba",6
"861","c Climate Segment "," Baptisia alba",1
"862","d Climate Segment "," Baptisia alba",1
"863","e Climate Segment "," Baptisia alba",2
"864","f Climate Segment "," Baptisia alba",3
"865","a Climate Segment "," Baptisia australis",0
"866","b Climate Segment "," Baptisia australis",0
"867","c Climate Segment "," Baptisia australis",0
"868","d Climate Segment "," Baptisia australis",0
"869","e Climate Segment "," Baptisia australis",3
"870","f Climate Segment "," Baptisia australis",1
"871","a Climate Segment "," Baptisia leucophaea",6
"872","b Climate Segment "," Baptisia leucophaea",1
"873","c Climate Segment "," Baptisia leucophaea",0
"874","d Climate Segment "," Baptisia leucophaea",0
"875","e Climate Segment "," Baptisia leucophaea",0
"876","f Climate Segment "," Baptisia leucophaea",0
"883","a Climate Segment "," Bartonia virginica",11
"884","b Climate Segment "," Bartonia virginica",1
"885","c Climate Segment "," Bartonia virginica",1
"886","d Climate Segment "," Bartonia virginica",0
"887","e Climate Segment "," Bartonia virginica",2
"888","f Climate Segment "," Bartonia virginica",0
"901","a Climate Segment "," Betula alleghaniensis",7
"902","b Climate Segment "," Betula alleghaniensis",1
"903","c Climate Segment "," Betula alleghaniensis",0
"904","d Climate Segment "," Betula alleghaniensis",0
"905","e Climate Segment "," Betula alleghaniensis",1
"906","f Climate Segment "," Betula alleghaniensis",0
"907","a Climate Segment "," Betula nigra",8
"908","b Climate Segment "," Betula nigra",0
"909","c Climate Segment "," Betula nigra",2
"910","d Climate Segment "," Betula nigra",5
"911","e Climate Segment "," Betula nigra",8
"912","f Climate Segment "," Betula nigra",6
"919","a Climate Segment "," Betula pumila",11
"920","b Climate Segment "," Betula pumila",2
"921","c Climate Segment "," Betula pumila",0
"922","d Climate Segment "," Betula pumila",0
"923","e Climate Segment "," Betula pumila",0
"924","f Climate Segment "," Betula pumila",0
"925","a Climate Segment "," Bidens aristosa",1
"926","b Climate Segment "," Bidens aristosa",0
"927","c Climate Segment "," Bidens aristosa",2
"928","d Climate Segment "," Bidens aristosa",5
"929","e Climate Segment "," Bidens aristosa",5
"930","f Climate Segment "," Bidens aristosa",3
"949","a Climate Segment "," Bidens connata",8
"950","b Climate Segment "," Bidens connata",5
"951","c Climate Segment "," Bidens connata",2
"952","d Climate Segment "," Bidens connata",0
"953","e Climate Segment "," Bidens connata",0
"954","f Climate Segment "," Bidens connata",0
"973","a Climate Segment "," Bidens trichosperma",15
"974","b Climate Segment "," Bidens trichosperma",8
"975","c Climate Segment "," Bidens trichosperma",9
"976","d Climate Segment "," Bidens trichosperma",2
"977","e Climate Segment "," Bidens trichosperma",1
"978","f Climate Segment "," Bidens trichosperma",0
"991","a Climate Segment "," Bignonia capreolata",0
"992","b Climate Segment "," Bignonia capreolata",0
"993","c Climate Segment "," Bignonia capreolata",0
"994","d Climate Segment "," Bignonia capreolata",0
"995","e Climate Segment "," Bignonia capreolata",3
"996","f Climate Segment "," Bignonia capreolata",4
"1045","a Climate Segment "," Borodinia dentata",0
"1046","b Climate Segment "," Borodinia dentata",9
"1047","c Climate Segment "," Borodinia dentata",5
"1048","d Climate Segment "," Borodinia dentata",2
"1049","e Climate Segment "," Borodinia dentata",2
"1050","f Climate Segment "," Borodinia dentata",1
"1087","a Climate Segment "," Brasenia schreberi",8
"1088","b Climate Segment "," Brasenia schreberi",2
"1089","c Climate Segment "," Brasenia schreberi",1
"1090","d Climate Segment "," Brasenia schreberi",0
"1091","e Climate Segment "," Brasenia schreberi",0
"1092","f Climate Segment "," Brasenia schreberi",0
"1105","a Climate Segment "," Bromus ciliatus",7
"1106","b Climate Segment "," Bromus ciliatus",1
"1107","c Climate Segment "," Bromus ciliatus",0
"1108","d Climate Segment "," Bromus ciliatus",0
"1109","e Climate Segment "," Bromus ciliatus",0
"1110","f Climate Segment "," Bromus ciliatus",0
"1153","a Climate Segment "," Bulbostylis capillaris",14
"1154","b Climate Segment "," Bulbostylis capillaris",2
"1155","c Climate Segment "," Bulbostylis capillaris",0
"1156","d Climate Segment "," Bulbostylis capillaris",2
"1157","e Climate Segment "," Bulbostylis capillaris",3
"1158","f Climate Segment "," Bulbostylis capillaris",0
"1165","a Climate Segment "," Calamagrostis canadensis",15
"1166","b Climate Segment "," Calamagrostis canadensis",6
"1167","c Climate Segment "," Calamagrostis canadensis",2
"1168","d Climate Segment "," Calamagrostis canadensis",2
"1169","e Climate Segment "," Calamagrostis canadensis",0
"1170","f Climate Segment "," Calamagrostis canadensis",0
"1171","a Climate Segment "," Calamagrostis stricta",11
"1172","b Climate Segment "," Calamagrostis stricta",1
"1173","c Climate Segment "," Calamagrostis stricta",0
"1174","d Climate Segment "," Calamagrostis stricta",0
"1175","e Climate Segment "," Calamagrostis stricta",0
"1176","f Climate Segment "," Calamagrostis stricta",0
"1201","a Climate Segment "," Callitriche terrestris",1
"1202","b Climate Segment "," Callitriche terrestris",0
"1203","c Climate Segment "," Callitriche terrestris",2
"1204","d Climate Segment "," Callitriche terrestris",6
"1205","e Climate Segment "," Callitriche terrestris",9
"1206","f Climate Segment "," Callitriche terrestris",4
"1213","a Climate Segment "," Calopogon tuberosus",11
"1214","b Climate Segment "," Calopogon tuberosus",4
"1215","c Climate Segment "," Calopogon tuberosus",0
"1216","d Climate Segment "," Calopogon tuberosus",0
"1217","e Climate Segment "," Calopogon tuberosus",0
"1218","f Climate Segment "," Calopogon tuberosus",0
"1225","a Climate Segment "," Calycocarpum lyonii",0
"1226","b Climate Segment "," Calycocarpum lyonii",0
"1227","c Climate Segment "," Calycocarpum lyonii",0
"1228","d Climate Segment "," Calycocarpum lyonii",0
"1229","e Climate Segment "," Calycocarpum lyonii",0
"1230","f Climate Segment "," Calycocarpum lyonii",3
"1231","a Climate Segment "," Calystegia catesbeiana",1
"1232","b Climate Segment "," Calystegia catesbeiana",0
"1233","c Climate Segment "," Calystegia catesbeiana",0
"1234","d Climate Segment "," Calystegia catesbeiana",0
"1235","e Climate Segment "," Calystegia catesbeiana",3
"1236","f Climate Segment "," Calystegia catesbeiana",3
"1261","a Climate Segment "," Campanula aparinoides",11
"1262","b Climate Segment "," Campanula aparinoides",5
"1263","c Climate Segment "," Campanula aparinoides",1
"1264","d Climate Segment "," Campanula aparinoides",0
"1265","e Climate Segment "," Campanula aparinoides",0
"1266","f Climate Segment "," Campanula aparinoides",0
"1267","a Climate Segment "," Campanula rotundifolia",10
"1268","b Climate Segment "," Campanula rotundifolia",1
"1269","c Climate Segment "," Campanula rotundifolia",0
"1270","d Climate Segment "," Campanula rotundifolia",0
"1271","e Climate Segment "," Campanula rotundifolia",0
"1272","f Climate Segment "," Campanula rotundifolia",0
"1285","a Climate Segment "," Cardamine angustata",0
"1286","b Climate Segment "," Cardamine angustata",0
"1287","c Climate Segment "," Cardamine angustata",1
"1288","d Climate Segment "," Cardamine angustata",2
"1289","e Climate Segment "," Cardamine angustata",10
"1290","f Climate Segment "," Cardamine angustata",1
"1315","a Climate Segment "," Cardamine parviflora",6
"1316","b Climate Segment "," Cardamine parviflora",2
"1317","c Climate Segment "," Cardamine parviflora",1
"1318","d Climate Segment "," Cardamine parviflora",6
"1319","e Climate Segment "," Cardamine parviflora",10
"1320","f Climate Segment "," Cardamine parviflora",4
"1351","a Climate Segment "," Carex albolutescens",1
"1352","b Climate Segment "," Carex albolutescens",0
"1353","c Climate Segment "," Carex albolutescens",0
"1354","d Climate Segment "," Carex albolutescens",0
"1355","e Climate Segment "," Carex albolutescens",8
"1356","f Climate Segment "," Carex albolutescens",2
"1375","a Climate Segment "," Carex annectens",1
"1376","b Climate Segment "," Carex annectens",1
"1377","c Climate Segment "," Carex annectens",0
"1378","d Climate Segment "," Carex annectens",0
"1379","e Climate Segment "," Carex annectens",7
"1380","f Climate Segment "," Carex annectens",2
"1411","a Climate Segment "," Carex bicknellii",8
"1412","b Climate Segment "," Carex bicknellii",1
"1413","c Climate Segment "," Carex bicknellii",0
"1414","d Climate Segment "," Carex bicknellii",0
"1415","e Climate Segment "," Carex bicknellii",1
"1416","f Climate Segment "," Carex bicknellii",0
"1435","a Climate Segment "," Carex bushii",0
"1436","b Climate Segment "," Carex bushii",0
"1437","c Climate Segment "," Carex bushii",0
"1438","d Climate Segment "," Carex bushii",0
"1439","e Climate Segment "," Carex bushii",0
"1440","f Climate Segment "," Carex bushii",2
"1441","a Climate Segment "," Carex buxbaumii",6
"1442","b Climate Segment "," Carex buxbaumii",2
"1443","c Climate Segment "," Carex buxbaumii",0
"1444","d Climate Segment "," Carex buxbaumii",0
"1445","e Climate Segment "," Carex buxbaumii",0
"1446","f Climate Segment "," Carex buxbaumii",1
"1447","a Climate Segment "," Carex canescens",7
"1448","b Climate Segment "," Carex canescens",1
"1449","c Climate Segment "," Carex canescens",0
"1450","d Climate Segment "," Carex canescens",0
"1451","e Climate Segment "," Carex canescens",0
"1452","f Climate Segment "," Carex canescens",0
"1459","a Climate Segment "," Carex caroliniana",0
"1460","b Climate Segment "," Carex caroliniana",0
"1461","c Climate Segment "," Carex caroliniana",1
"1462","d Climate Segment "," Carex caroliniana",1
"1463","e Climate Segment "," Carex caroliniana",5
"1464","f Climate Segment "," Carex caroliniana",3
"1489","a Climate Segment "," Carex comosa",10
"1490","b Climate Segment "," Carex comosa",5
"1491","c Climate Segment "," Carex comosa",1
"1492","d Climate Segment "," Carex comosa",0
"1493","e Climate Segment "," Carex comosa",0
"1494","f Climate Segment "," Carex comosa",0
"1531","a Climate Segment "," Carex crus-corvi",0
"1532","b Climate Segment "," Carex crus-corvi",2
"1533","c Climate Segment "," Carex crus-corvi",1
"1534","d Climate Segment "," Carex crus-corvi",2
"1535","e Climate Segment "," Carex crus-corvi",3
"1536","f Climate Segment "," Carex crus-corvi",5
"1549","a Climate Segment "," Carex davisii",0
"1550","b Climate Segment "," Carex davisii",8
"1551","c Climate Segment "," Carex davisii",9
"1552","d Climate Segment "," Carex davisii",1
"1553","e Climate Segment "," Carex davisii",3
"1554","f Climate Segment "," Carex davisii",2
"1555","a Climate Segment "," Carex debilis",5
"1556","b Climate Segment "," Carex debilis",0
"1557","c Climate Segment "," Carex debilis",0
"1558","d Climate Segment "," Carex debilis",0
"1559","e Climate Segment "," Carex debilis",7
"1560","f Climate Segment "," Carex debilis",1
"1567","a Climate Segment "," Carex diandra",6
"1568","b Climate Segment "," Carex diandra",1
"1569","c Climate Segment "," Carex diandra",0
"1570","d Climate Segment "," Carex diandra",0
"1571","e Climate Segment "," Carex diandra",0
"1572","f Climate Segment "," Carex diandra",0
"1609","a Climate Segment "," Carex festucacea",3
"1610","b Climate Segment "," Carex festucacea",1
"1611","c Climate Segment "," Carex festucacea",0
"1612","d Climate Segment "," Carex festucacea",2
"1613","e Climate Segment "," Carex festucacea",6
"1614","f Climate Segment "," Carex festucacea",3
"1627","a Climate Segment "," Carex frankii",0
"1628","b Climate Segment "," Carex frankii",8
"1629","c Climate Segment "," Carex frankii",11
"1630","d Climate Segment "," Carex frankii",11
"1631","e Climate Segment "," Carex frankii",15
"1632","f Climate Segment "," Carex frankii",7
"1645","a Climate Segment "," Carex glaucodea",0
"1646","b Climate Segment "," Carex glaucodea",0
"1647","c Climate Segment "," Carex glaucodea",0
"1648","d Climate Segment "," Carex glaucodea",3
"1649","e Climate Segment "," Carex glaucodea",8
"1650","f Climate Segment "," Carex glaucodea",4
"1807","a Climate Segment "," Carex louisianica",0
"1808","b Climate Segment "," Carex louisianica",0
"1809","c Climate Segment "," Carex louisianica",0
"1810","d Climate Segment "," Carex louisianica",0
"1811","e Climate Segment "," Carex louisianica",3
"1812","f Climate Segment "," Carex louisianica",2
"1849","a Climate Segment "," Carex muehlenbergii",9
"1850","b Climate Segment "," Carex muehlenbergii",1
"1851","c Climate Segment "," Carex muehlenbergii",0
