,pvalues,speciesName,padj,model
128,0, Chasmanthium latifolium,0,a Climate Segment a Climate Segment
129,0.2763, Chenopodiastrum simplex,0.361449057,a Climate Segment a Climate Segment
130,0.8407, Chenopodium pratericola,0.877252174,a Climate Segment a Climate Segment
131,0.6712, Chimaphila umbellata,0.737374648,a Climate Segment a Climate Segment
132,0.055, Cicuta bulbifera,0.08350365,a Climate Segment a Climate Segment
133,0, Cirsium carolinianum,0,a Climate Segment a Climate Segment
134,5.00E-04, Cirsium discolor,0.000896552,a Climate Segment a Climate Segment
135,0.1425, Cirsium muticum,0.203478261,a Climate Segment a Climate Segment
136,0.8407, Cirsium pumilum,0.877252174,a Climate Segment a Climate Segment
137,0.275, Cladium mariscoides,0.361449057,a Climate Segment a Climate Segment
138,0, Clematis pitcheri,0,a Climate Segment a Climate Segment
139,0, Clitoria mariana,0,a Climate Segment a Climate Segment
140,0, Cocculus carolinus,0,a Climate Segment a Climate Segment
141,0, Coleataenia anceps,0,a Climate Segment a Climate Segment
142,0, Coleataenia rigidula,0,a Climate Segment a Climate Segment
143,1.00E-04, Coleataenia stipitata,0.000184615,a Climate Segment a Climate Segment
144,0, Comandra umbellata,0,a Climate Segment a Climate Segment
145,0.2763, Comarum palustre,0.361449057,a Climate Segment a Climate Segment
146,0, Commelina diffusa,0,a Climate Segment a Climate Segment
147,0.0138, Commelina erecta,0.022601575,a Climate Segment a Climate Segment
148,0, Commelina virginica,0,a Climate Segment a Climate Segment
149,0.6712, Comptonia peregrina,0.737374648,a Climate Segment a Climate Segment
150,0, Conoclinium coelestinum,0,a Climate Segment a Climate Segment
151,0.8823, Coptis trifolia,0.905518421,a Climate Segment a Climate Segment
152,0, Corallorhiza wisteriana,0,a Climate Segment a Climate Segment
153,0.2603, Coreopsis palmata,0.347066667,a Climate Segment a Climate Segment
154,0, Coreopsis tripteris,0,a Climate Segment a Climate Segment
155,0, Cornus drummondii,0,a Climate Segment a Climate Segment
156,0, Cornus foemina,0,a Climate Segment a Climate Segment
157,8.00E-04, Cornus racemosa,0.001422222,a Climate Segment a Climate Segment
158,0.5495, Cornus sericea,0.622420253,a Climate Segment a Climate Segment
159,0, Corydalis flavula,0,a Climate Segment a Climate Segment
160,0, Crataegus viridis,0,a Climate Segment a Climate Segment
161,0.2952, Crocanthemum bicknellii,0.382962162,a Climate Segment a Climate Segment
162,0.465, Crocanthemum canadense,0.56671875,a Climate Segment a Climate Segment
163,0, Cunila origanoides,0,a Climate Segment a Climate Segment
164,0, Cuphea viscosissima,0,a Climate Segment a Climate Segment
165,0, Cuscuta campestris,0,a Climate Segment a Climate Segment
166,0, Cuscuta compacta,0,a Climate Segment a Climate Segment
167,1.00E-04, Cycloloma atriplicifolium,0.000184615,a Climate Segment a Climate Segment
168,0, Cynanchum laeve,0,a Climate Segment a Climate Segment
169,0, Cynoglossum virginianum,0,a Climate Segment a Climate Segment
170,0.5516, Cyperus diandrus,0.622420253,a Climate Segment a Climate Segment
171,0, Cyperus flavescens,0,a Climate Segment a Climate Segment
172,2.00E-04, Cyperus lupulinus,0.000364912,a Climate Segment a Climate Segment
173,0, Cyperus pseudovegetus,0,a Climate Segment a Climate Segment
174,0.5516, Cypripedium acaule,0.622420253,a Climate Segment a Climate Segment
175,0.8407, Cypripedium candidum,0.877252174,a Climate Segment a Climate Segment
176,0.6569, Dasiphora fruticosa,0.733283721,a Climate Segment a Climate Segment
177,0.3464, Decodon verticillatus,0.4349167,a Climate Segment a Climate Segment
178,0, Delphinium tricorne,0,a Climate Segment a Climate Segment
179,0, Desmanthus illinoensis,0,a Climate Segment a Climate Segment
180,0.2941, Desmodium illinoense,0.38233,a Climate Segment a Climate Segment
181,0, Desmodium laevigatum,0,a Climate Segment a Climate Segment
182,0, Desmodium nuttallii,0,a Climate Segment a Climate Segment
183,0.0164, Desmodium sessilifolium,0.02624,a Climate Segment a Climate Segment
184,0, Dianthus armeria,0,a Climate Segment a Climate Segment
185,0, Diarrhena americana,0,a Climate Segment a Climate Segment
186,0, Dichanthelium boscii,0,a Climate Segment a Climate Segment
187,0, Dichanthelium commutatum,0,a Climate Segment a Climate Segment
188,1.00E-04, Dichanthelium depauperatum,0.000184615,a Climate Segment a Climate Segment
189,0, Dichanthelium dichotomum,0,a Climate Segment a Climate Segment
190,0.001, Dichanthelium latifolium,0.001767705,a Climate Segment a Climate Segment
191,0, Dichanthelium laxiflorum,0,a Climate Segment a Climate Segment
192,0.0117, Dichanthelium oligosanthes,0.019731892,a Climate Segment a Climate Segment
193,0.006, Dichanthelium ovale,0.010285714,a Climate Segment a Climate Segment
194,0.3286, Dichanthelium perlongum,0.417609776,a Climate Segment a Climate Segment
195,0, Dichanthelium polyanthes,0,a Climate Segment a Climate Segment
196,0, Dicliptera brachiata,0,a Climate Segment a Climate Segment
197,0.8823, Diervilla lonicera,0.905518421,a Climate Segment a Climate Segment
198,0.4879, Digitaria cognata,0.58548,a Climate Segment a Climate Segment
199,0, Dinebra panicea,0,a Climate Segment a Climate Segment
200,0, Diodia teres,0,a Climate Segment a Climate Segment
201,0, Diospyros virginiana,0,a Climate Segment a Climate Segment
202,0.4439, Doellingeria umbellata,0.54206184,a Climate Segment a Climate Segment
203,0.9214, Drosera intermedia,0.925851208,a Climate Segment a Climate Segment
204,0.2575, Drosera rotundifolia,0.344806867,a Climate Segment a Climate Segment
205,0.6752, Drymocallis arguta,0.739166316,a Climate Segment a Climate Segment
206,0.0168, Dryopteris carthusiana,0.026674809,a Climate Segment a Climate Segment
207,0.1473, Dryopteris cristata,0.208376471,a Climate Segment a Climate Segment
208,0.4879, Dulichium arundinaceum,0.58548,a Climate Segment a Climate Segment
209,0.0158, Echinochloa walteri,0.025410309,a Climate Segment a Climate Segment
210,0.0085, Echinocystis lobata,0.014452316,a Climate Segment a Climate Segment
211,0, Echinodorus cordifolius,0,a Climate Segment a Climate Segment
212,0.0148, Eleocharis acicularis,0.023863566,a Climate Segment a Climate Segment
213,0.0031, Eleocharis erythropoda,0.005433708,a Climate Segment a Climate Segment
214,0.5283, Eleocharis flavescens,0.612981413,a Climate Segment a Climate Segment
215,0, Eleocharis verrucosa,0,a Climate Segment a Climate Segment
216,0, Elephantopus carolinianus,0,a Climate Segment a Climate Segment
217,0.5516, Elodea nuttallii,0.622420253,a Climate Segment a Climate Segment
218,3.00E-04, Elymus canadensis,0.000544186,a Climate Segment a Climate Segment
219,0.1755, Elymus repens,0.244446429,a Climate Segment a Climate Segment
220,0.5485, Elymus trachycaulus,0.622420253,a Climate Segment a Climate Segment
221,0.0535, Epilobium leptophyllum,0.08142439,a Climate Segment a Climate Segment
222,0.1473, Equisetum fluviatile,0.208376471,a Climate Segment a Climate Segment
223,0, Eragrostis capillaris,0,a Climate Segment a Climate Segment
224,0.5179, Eriophorum virginicum,0.610628571,a Climate Segment a Climate Segment
225,0.8407, Eriophorum viridicarinatum,0.877252174,a Climate Segment a Climate Segment
226,0.0454, Eryngium yuccifolium,0.069265526,a Climate Segment a Climate Segment
227,0, Euonymus americanus,0,a Climate Segment a Climate Segment
228,0, Eupatorium serotinum,0,a Climate Segment a Climate Segment
229,0, Eupatorium sessilifolium,0,a Climate Segment a Climate Segment
230,0, Euphorbia humistrata,0,a Climate Segment a Climate Segment
231,0.3902, Eurybia macrophylla,0.481195257,a Climate Segment a Climate Segment
232,0.0127, Euthamia gymnospermoides,0.021076596,a Climate Segment a Climate Segment
233,0, Eutrochium fistulosum,0,a Climate Segment a Climate Segment
234,0.0187, Eutrochium maculatum,0.029318593,a Climate Segment a Climate Segment
235,0, Fleischmannia incarnata,0,a Climate Segment a Climate Segment
236,1.00E-04, Floerkea proserpinacoides,0.000184615,a Climate Segment a Climate Segment
237,0, Forestiera acuminata,0,a Climate Segment a Climate Segment
238,0, Frangula caroliniana,0,a Climate Segment a Climate Segment
239,0, Fraxinus biltmoreana,0,a Climate Segment a Climate Segment
240,0, Galactia volubilis,0,a Climate Segment a Climate Segment
241,0.531, Galium boreale,0.614738404,a Climate Segment a Climate Segment
242,0.5206, Galium labradoricum,0.610628571,a Climate Segment a Climate Segment
243,0, Galium pilosum,0,a Climate Segment a Climate Segment
244,0, Gamochaeta purpurea,0,a Climate Segment a Climate Segment
245,0.5943, Gaultheria procumbens,0.669392058,a Climate Segment a Climate Segment
246,0.0309, Gaylussacia baccata,0.047964179,a Climate Segment a Climate Segment
247,0, Gentiana alba,0,a Climate Segment a Climate Segment
248,4.00E-04, Gentiana saponaria,0.000719308,a Climate Segment a Climate Segment
249,0.8686, Gentianopsis crinita,0.904852087,a Climate Segment a Climate Segment
250,0.972, Gentianopsis virgata,0.972,a Climate Segment a Climate Segment
251,0, Geranium carolinianum,0,a Climate Segment a Climate Segment
252,0.5485, Geum aleppicum,0.622420253,a Climate Segment a Climate Segment
253,1.00E-04, Geum laciniatum,0.000184615,a Climate Segment a Climate Segment
254,0, Gillenia stipulata,0,a Climate Segment a Climate Segment
255,0, Glyceria septentrionalis,0,a Climate Segment a Climate Segment
256,0, Gonolobus suberosus,0,a Climate Segment a Climate Segment
257,0, Hasteola suaveolens,0,a Climate Segment a Climate Segment
258,0.0168, Hedeoma hispida,0.026674809,a Climate Segment a Climate Segment
259,0, Helenium flexuosum,0,a Climate Segment a Climate Segment
260,0.5232, Helianthus giganteus,0.612526829,a Climate Segment a Climate Segment
261,0, Helianthus microcephalus,0,a Climate Segment a Climate Segment
262,6.00E-04, Helianthus mollis,0.001069714,a Climate Segment a Climate Segment
263,0.1205, Helianthus occidentalis,0.176093677,a Climate Segment a Climate Segment
264,0.0047, Helianthus strumosus,0.008079339,a Climate Segment a Climate Segment
265,9.00E-04, Heracleum maximum,0.001595455,a Climate Segment a Climate Segment
266,0.2603, Hesperostipa spartea,0.347066667,a Climate Segment a Climate Segment
267,0.155, Heteranthera dubia,0.217837838,a Climate Segment a Climate Segment
268,0, Heteranthera reniformis,0,a Climate Segment a Climate Segment
269,0.2511, Heuchera richardsonii,0.339148052,a Climate Segment a Climate Segment
270,0, Heuchera villosa,0,a Climate Segment a Climate Segment
271,0, Hibiscus moscheutos,0,a Climate Segment a Climate Segment
272,0.1894, Hieracium umbellatum,0.261472566,a Climate Segment a Climate Segment
273,0.01, Hordeum jubatum,0.016910569,a Climate Segment a Climate Segment
274,0, Hordeum pusillum,0,a Climate Segment a Climate Segment
275,0, Houstonia caerulea,0,a Climate Segment a Climate Segment
276,0, Houstonia purpurea,0,a Climate Segment a Climate Segment
277,0, Hybanthus concolor,0,a Climate Segment a Climate Segment
278,0.8044, Hydrocotyle umbellata,0.856562457,a Climate Segment a Climate Segment
279,2.00E-04, Hydrophyllum virginianum,0.000364912,a Climate Segment a Climate Segment
280,0, Hylodesmum pauciflorum,0,a Climate Segment a Climate Segment
281,0, Hymenocallis occidentalis,0,a Climate Segment a Climate Segment
282,0.5516, Hypericum boreale,0.622420253,a Climate Segment a Climate Segment
283,0, Hypericum drummondii,0,a Climate Segment a Climate Segment
284,0, Hypericum gentianoides,0,a Climate Segment a Climate Segment
285,0, Hypericum hypericoides,0,a Climate Segment a Climate Segment
286,0.9214, Hypericum kalmianum,0.925851208,a Climate Segment a Climate Segment
287,0.2441, Hypericum majus,0.331848366,a Climate Segment a Climate Segment
288,0, Hypericum virgatum,0,a Climate Segment a Climate Segment
289,0, Ilex decidua,0,a Climate Segment a Climate Segment
290,0.4212, Ilex mucronata,0.517379528,a Climate Segment a Climate Segment
291,0, Iodanthus pinnatifidus,0,a Climate Segment a Climate Segment
292,0, Ipomoea lacunosa,0,a Climate Segment a Climate Segment
293,0, Iresine rhizomatosa,0,a Climate Segment a Climate Segment
294,0, Iris brevicaulis,0,a Climate Segment a Climate Segment
295,0, Iris cristata,0,a Climate Segment a Climate Segment
296,0, Isotrema tomentosa,0,a Climate Segment a Climate Segment
297,0, Jeffersonia diphylla,0,a Climate Segment a Climate Segment
298,0, Juncus anthelatus,0,a Climate Segment a Climate Segment
299,0, Juncus brachycarpus,0,a Climate Segment a Climate Segment
300,0.6726, Juncus canadensis,0.73761406,a Climate Segment a Climate Segment
301,0, Juncus diffusissimus,0,a Climate Segment a Climate Segment
302,0, Juncus marginatus,0,a Climate Segment a Climate Segment
303,0, Juncus torreyi,0,a Climate Segment a Climate Segment
304,0.2511, Koeleria macrantha,0.339148052,a Climate Segment a Climate Segment
305,0, Krigia dandelion,0,a Climate Segment a Climate Segment
306,0.3286, Krigia virginica,0.417609776,a Climate Segment a Climate Segment
307,0, Kyllinga pumila,0,a Climate Segment a Climate Segment
308,0, Lactuca floridana,0,a Climate Segment a Climate Segment
309,0.2941, Larix laricina,0.38233,a Climate Segment a Climate Segment
310,0.0026, Lathyrus palustris,0.004583051,a Climate Segment a Climate Segment
311,0.0196, Lathyrus venosus,0.030652632,a Climate Segment a Climate Segment
312,1.00E-04, Lechea mucronata,0.000184615,a Climate Segment a Climate Segment
313,0.5105, Lechea pulchella,0.607923664,a Climate Segment a Climate Segment
314,0, Lechea tenuifolia,0,a Climate Segment a Climate Segment
315,0.0691, Lemna trisulca,0.104150725,a Climate Segment a Climate Segment
316,0.0062, Lespedeza capitata,0.010599452,a Climate Segment a Climate Segment
317,0, Lespedeza hirta,0,a Climate Segment a Climate Segment
318,0, Lespedeza procumbens,0,a Climate Segment a Climate Segment
319,0, Lespedeza repens,0,a Climate Segment a Climate Segment
320,0, Lespedeza violacea,0,a Climate Segment a Climate Segment
321,0, Leucospora multifida,0,a Climate Segment a Climate Segment
322,0.1894, Liatris aspera,0.261472566,a Climate Segment a Climate Segment
323,0.5283, Liatris scariosa,0.612981413,a Climate Segment a Climate Segment
324,0.012, Liatris spicata,0.020075067,a Climate Segment a Climate Segment
325,0, Liatris squarrosa,0,a Climate Segment a Climate Segment
326,0, Liatris squarrulosa,0,a Climate Segment a Climate Segment
327,0.0039, Lilium michiganense,0.00677883,a Climate Segment a Climate Segment
328,0.8044, Lilium philadelphicum,0.856562457,a Climate Segment a Climate Segment
329,0, Linum medium,0,a Climate Segment a Climate Segment
330,0, Liquidambar styraciflua,0,a Climate Segment a Climate Segment
331,1.00E-04, Lithospermum canescens,0.000184615,a Climate Segment a Climate Segment
332,0.3455, Lithospermum caroliniense,0.4349167,a Climate Segment a Climate Segment
333,0, Lobelia cardinalis,0,a Climate Segment a Climate Segment
334,0.3619, Lobelia kalmii,0.45346506,a Climate Segment a Climate Segment
335,0, Lobelia puberula,0,a Climate Segment a Climate Segment
336,4.00E-04, Lobelia spicata,0.000719308,a Climate Segment a Climate Segment
337,0, Ludwigia decurrens,0,a Climate Segment a Climate Segment
338,0.014, Ludwigia sphaerocarpa,0.022809399,a Climate Segment a Climate Segment
339,0.1703, Lupinus perennis,0.237734228,a Climate Segment a Climate Segment
340,0, Luzula echinata,0,a Climate Segment a Climate Segment
341,0.0145, Luzula multiflora,0.023440415,a Climate Segment a Climate Segment
342,0.1695, Lycopus uniflorus,0.237147982,a Climate Segment a Climate Segment
343,0, Lycopus virginicus,0,a Climate Segment a Climate Segment
344,0, Lysimachia arvensis,0,a Climate Segment a Climate Segment
345,0.8823, Lysimachia borealis,0.905518421,a Climate Segment a Climate Segment
346,0, Lysimachia minima,0,a Climate Segment a Climate Segment
347,0, Lysimachia quadrifolia,0,a Climate Segment a Climate Segment
348,0.1923, Lysimachia terrestris,0.264890066,a Climate Segment a Climate Segment
349,0.5179, Lysimachia thyrsiflora,0.610628571,a Climate Segment a Climate Segment
350,0, Lythrum alatum,0,a Climate Segment a Climate Segment
351,0.2071, Maianthemum canadense,0.284648458,a Climate Segment a Climate Segment
352,6.00E-04, Maianthemum stellatum,0.001069714,a Climate Segment a Climate Segment
353,0, Manfreda virginica,0,a Climate Segment a Climate Segment
354,0, Matelea obliqua,0,a Climate Segment a Climate Segment
355,0.9214, Melampyrum lineare,0.925851208,a Climate Segment a Climate Segment
356,0, Melica mutica,0,a Climate Segment a Climate Segment
357,0, Melothria pendula,0,a Climate Segment a Climate Segment
358,0, Mentha canadensis,0,a Climate Segment a Climate Segment
359,0.5283, Menyanthes trifoliata,0.612981413,a Climate Segment a Climate Segment
360,0.0332, Micranthes pensylvanica,0.051406452,a Climate Segment a Climate Segment
361,0, Micranthes virginiensis,0,a Climate Segment a Climate Segment
362,0, Mimulus alatus,0,a Climate Segment a Climate Segment
363,0, Monarda clinopodia,0,a Climate Segment a Climate Segment
364,0.5206, Monarda punctata,0.610628571,a Climate Segment a Climate Segment
365,0, Morus rubra,0,a Climate Segment a Climate Segment
366,0, Muhlenbergia bushii,0,a Climate Segment a Climate Segment
367,0.5145, Muhlenbergia glomerata,0.610357414,a Climate Segment a Climate Segment
368,0.0183, Muhlenbergia mexicana,0.028836364,a Climate Segment a Climate Segment
369,0, Muhlenbergia sobolifera,0,a Climate Segment a Climate Segment
370,0, Myosotis macrosperma,0,a Climate Segment a Climate Segment
371,0.7322, Nabalus albus,0.797369634,a Climate Segment a Climate Segment
372,0.0135, Nabalus asper,0.022168421,a Climate Segment a Climate Segment
373,0.3634, Nabalus racemosus,0.454432064,a Climate Segment a Climate Segment
374,0.2941, Najas flexilis,0.38233,a Climate Segment a Climate Segment
375,0.3286, Nuttallanthus canadensis,0.417609776,a Climate Segment a Climate Segment
376,0.017, Nymphaea odorata,0.026923858,a Climate Segment a Climate Segment
377,0, Obolaria virginica,0,a Climate Segment a Climate Segment
378,0.3286, Oenothera clelandii,0.417609776,a Climate Segment a Climate Segment
379,0.2625, Oenothera fruticosa,0.349253731,a Climate Segment a Climate Segment
380,0, Oenothera laciniata,0,a Climate Segment a Climate Segment
381,0, Ophioglossum vulgatum,0,a Climate Segment a Climate Segment
382,0, Orbexilum pedunculatum,0,a Climate Segment a Climate Segment
383,0, Orobanche riparia,0,a Climate Segment a Climate Segment
384,0, Oxalis grandis,0,a Climate Segment a Climate Segment
385,0, Packera glabella,0,a Climate Segment a Climate Segment
386,0.9214, Packera paupercula,0.925851208,a Climate Segment a Climate Segment
387,0.5145, Packera plattensis,0.610357414,a Climate Segment a Climate Segment
388,0, Panicum flexile,0,a Climate Segment a Climate Segment
389,0, Panicum philadelphicum,0,a Climate Segment a Climate Segment
390,0.8823, Panicum tuckermanii,0.905518421,a Climate Segment a Climate Segment
391,0.1349, Parnassia glauca,0.196218182,a Climate Segment a Climate Segment
392,0, Paronychia canadensis,0,a Climate Segment a Climate Segment
393,0, Paronychia fastigiata,0,a Climate Segment a Climate Segment
394,0.654, Parthenium integrifolium,0.731354839,a Climate Segment a Climate Segment
395,0.0042, Parthenocissus inserta,0.00728,a Climate Segment a Climate Segment
396,0, Paspalum laeve,0,a Climate Segment a Climate Segment
397,0, Paspalum pubiflorum,0,a Climate Segment a Climate Segment
398,0, Paspalum repens,0,a Climate Segment a Climate Segment
399,0, Passiflora incarnata,0,a Climate Segment a Climate Segment
400,0, Passiflora lutea,0,a Climate Segment a Climate Segment
401,0.0392, Pedicularis lanceolata,0.060100246,a Climate Segment a Climate Segment
402,0.0143, Peltandra virginica,0.0232375,a Climate Segment a Climate Segment
403,0, Penstemon alluviorum,0,a Climate Segment a Climate Segment
404,0, Penstemon calycosus,0,a Climate Segment a Climate Segment
