<<<<<<< HEAD
pvalues1,speciesName,padj
0.7908, Crataegus biltmoreana,0.892870677
0.4691, Crataegus calpodendron,0.612993619
0.9889, Crataegus coccinea,1
0.3962, Crataegus collina,0.540463588
0.145, Crataegus crus-galli,0.256418057
1, Crataegus holmesiana,1
0.3216, Crataegus intricata,0.468112439
0.5317, Crataegus macrosperma,0.677022599
0.0841, Crataegus margarettae,0.164190899
0.3448, Crataegus mollis,0.492337242
0.3243, Crataegus prona,0.471281129
0.4141, Crataegus pruinosa,0.557287677
0.72, Crataegus punctata,0.831692308
0.085, Crataegus rubella,0.164345494
0.6174, Crataegus succulenta,0.73923907
6.00E-04, Crataegus viridis,0.003861429
0.0143, Crocanthemum bicknellii,0.042452389
1.00E-04, Crocanthemum canadense,0.000984699
0.1134, Croton capitatus,0.208304587
0.0995, Croton glandulosus,0.187944444
0.0775, Croton michauxii,0.157575771
0.7229, Cryptotaenia canadensis,0.834507239
0.0075, Cunila origanoides,0.025404135
1.00E-04, Cuphea viscosissima,0.000984699
0.0109, Cuscuta campestris,0.033575726
0.6574, Cuscuta cephalanthi,0.774271111
2.00E-04, Cuscuta compacta,0.001668519
0.0367, Cuscuta coryli,0.091597507
0.0775, Cuscuta cuspidata,0.157575771
0.0794, Cuscuta glomerata,0.157575771
0.2787, Cuscuta gronovii,0.430443493
0.2867, Cuscuta pentagona,0.439688
0.5615, Cuscuta polygonorum,0.700708449
1.00E-04, Cycloloma atriplicifolium,0.000984699
0, Cynanchum laeve,0
0, Cynoglossum virginianum,0
0.231, Cyperus acuminatus,0.371
0.0343, Cyperus bipartitus,0.08632486
0.0701, Cyperus dentatus,0.150740095
0.0101, Cyperus diandrus,0.031542808
0.085, Cyperus echinatus,0.164345494
0.0467, Cyperus erythrorhizos,0.111757503
0.1244, Cyperus esculentus,0.225069076
5.00E-04, Cyperus flavescens,0.00336194
1, Cyperus houghtonii,1
0, Cyperus lupulinus,0
0.7715, Cyperus odoratus,0.874366667
0.0062, Cyperus pseudovegetus,0.021916216
0.0701, Cyperus schweinitzii,0.150740095
0.8784, Cyperus squarrosus,0.960483495
0.5682, Cyperus strigosus,0.70580382
0.0101, Cypripedium acaule,0.031542808
0.0011, Cypripedium candidum,0.006080368
0.1215, Cypripedium parviflorum,0.220708669
0.0816, Cypripedium reginae,0.160177778
0.2045, Cystopteris bulbifera,0.339014719
0.1397, Cystopteris protrusa,0.247288212
0.4588, Cystopteris tenuis,0.602855685
0.2099, Dalea candida,0.347008991
0.1799, Dalea purpurea,0.306988447
0.5373, Danthonia spicata,0.680882278
0.0105, Dasiphora fruticosa,0.032566265
0.0314, Dasistoma macrophylla,0.080259291
0.0066, Decodon verticillatus,0.022783908
0.0112, Delphinium tricorne,0.03432381
1, Dendrolycopodium obscurum,1
0.3962, Dennstaedtia punctilobula,0.540463588
0.7598, Deparia acrostichoides,0.864914466
0.3216, Deschampsia cespitosa,0.468112439
0.1065, Descurainia pinnata,0.198257231
0.0083, Desmanthus illinoensis,0.027646211
0.0582, Desmodium canadense,0.133941762
0.4212, Desmodium canescens,0.564733929
0.0598, Desmodium ciliare,0.137273376
0.5271, Desmodium cuspidatum,0.671990523
0.0222, Desmodium glabellum,0.06024759
2.00E-04, Desmodium illinoense,0.001668519
0.0049, Desmodium laevigatum,0.019578271
0.044, Desmodium marilandicum,0.106569892
1.00E-04, Desmodium nuttallii,0.000984699
0.4958, Desmodium obtusum,0.64045276
0.7938, Desmodium paniculatum,0.895696681
0.8437, Desmodium perplexum,0.933874324
0.405, Desmodium rotundifolium,0.549142212
3.00E-04, Desmodium sessilifolium,0.002271429
0.0039, Dianthus armeria,0.016653555
0.0105, Diarrhena americana,0.032566265
0.3442, Diarrhena obovata,0.491870262
0.1237, Dicentra canadensis,0.224252918
0.2417, Dicentra cucullaria,0.383794386
0.4515, Dichanthelium acuminatum,0.59560981
0.2427, Dichanthelium boreale,0.383794386
0, Dichanthelium boscii,0
0.0535, Dichanthelium clandestinum,0.124396129
0, Dichanthelium commutatum,0
0.0186, Dichanthelium deamii,0.052045342
0.0058, Dichanthelium depauperatum,0.021916216
0.0049, Dichanthelium dichotomum,0.019578271
0.0121, Dichanthelium latifolium,0.036769309
2.00E-04, Dichanthelium laxiflorum,0.001668519
0.0794, Dichanthelium leibergii,0.157575771
0.0388, Dichanthelium linearifolium,0.095125986
0, Dichanthelium oligosanthes,0
0, Dichanthelium ovale,0
0, Dichanthelium perlongum,0
0, Dichanthelium polyanthes,0
0.0394, Dichanthelium sphaerocarpon,0.096334871
0.006, Dicliptera brachiata,0.021916216
0.0534, Didiplis diandra,0.124324031
0.0062, Diervilla lonicera,0.021916216
7.00E-04, Digitaria cognata,0.004379861
0.5905, Digitaria filiformis,0.714031925
1.00E-04, Dinebra panicea,0.000984699
0.0775, Dinebra panicoides,0.157575771
0, Diodia teres,0
0.0804, Dioscorea villosa,0.159034907
1.00E-04, Diospyros virginiana,0.000984699
0.231, Diphasiastrum digitatum,0.371
0.3891, Dirca palustris,0.539767667
3.00E-04, Doellingeria umbellata,0.002271429
0.0262, Draba brachycarpa,0.068722562
0.3498, Draba reptans,0.497898578
0.0063, Drosera intermedia,0.021916216
0.0093, Drosera rotundifolia,0.030087253
0.0123, Drymocallis arguta,0.037251429
4.00E-04, Dryopteris carthusiana,0.002894779
1, Dryopteris celsa,1
3.00E-04, Dryopteris cristata,0.002271429
0.6825, Dryopteris goldiana,0.797577821
0.9584, Dryopteris intermedia,1
0.5273, Dryopteris marginalis,0.671990523
7.00E-04, Dulichium arundinaceum,0.004379861
0.0383, Dysphania ambrosioides,0.094156344
0.2427, Dysphania botrys,0.383794386
0.5742, Echinacea pallida,0.70580382
0.1308, Echinacea purpurea,0.23499661
0.5214, Echinochloa muricata,0.667303125
7.00E-04, Echinochloa walteri,0.004379861
0.0046, Echinocystis lobata,0.019055632
0.0062, Echinodorus cordifolius,0.021916216
0.0767, Eclipta prostrata,0.157575771
6.00E-04, Eleocharis acicularis,0.003861429
0.3962, Eleocharis compressa,0.540463588
0.0352, Eleocharis elliptica,0.088343175
0.0841, Eleocharis engelmannii,0.164190899
0.2427, Eleocharis equisetoides,0.383794386
0, Eleocharis erythropoda,0
0.001, Eleocharis flavescens,0.005794212
0.0701, Eleocharis geniculata,0.150740095
0.0691, Eleocharis intermedia,0.150740095
1, Eleocharis melanocarpa,1
1, Eleocharis microcarpa,1
0.6891, Eleocharis obtusa,0.802518605
1, Eleocharis ovata,1
0.0356, Eleocharis palustris,0.089098889
0.1962, Eleocharis quadrangulata,0.327666728
0.0186, Eleocharis quinqueflora,0.052045342
0.3216, Eleocharis robbinsii,0.468112439
0.0488, Eleocharis rostellata,0.116012665
3.00E-04, Eleocharis verrucosa,0.002271429
0.3962, Eleocharis wolfii,0.540463588
0, Elephantopus carolinianus,0
0.3332, Ellisia nyctelea,0.479957154
0.2764, Elodea canadensis,0.428634079
0.0101, Elodea nuttallii,0.031542808
0.0028, Elymus canadensis,0.012677387
0.079, Elymus curvatus,0.157575771
0.0491, Elymus glabriflorus,0.116418684
0.9947, Elymus hystrix,1
0.2585, Elymus macgregorii,0.404706342
0.0085, Elymus repens,0.028104587
0.4735, Elymus riparius,0.617400145
0.0031, Elymus trachycaulus,0.013759113
0.5368, Elymus villosus,0.680727375
0.8754, Elymus virginicus,0.957784335
0.2835, Endodeca serpentaria,0.435893345
0.3252, Enemion biternatum,0.472208219
0.0336, Epifagus virginiana,0.0848
0.2789, Epigaea repens,0.430443493
0.3216, Epilobium ciliatum,0.468112439
0.0553, Epilobium coloratum,0.128085604
0.005, Epilobium leptophyllum,0.019845815
0.0251, Epilobium strictum,0.066976991
0.3084, Equisetum arvense,0.467005714
3.00E-04, Equisetum fluviatile,0.002271429
0.0971, Equisetum hyemale,0.183989695
0.028, Equisetum laevigatum,0.073124638
1, Equisetum variegatum,1
0.0013, Eragrostis capillaris,0.006972024
0.6741, Eragrostis frankii,0.789810273
0.2833, Eragrostis hypnoides,0.435893345
0.4482, Eragrostis pectinacea,0.592557887
0.1356, Eragrostis spectabilis,0.24204906
0.0791, Erechtites hieraciifolius,0.157575771
0.1973, Erigenia bulbosa,0.328590203
0.5811, Erigeron annuus,0.710984129
0.9784, Erigeron philadelphicus,1
0.3766, Erigeron pulchellus,0.526211938
0.0793, Erigeron strigosus,0.157575771
0.0219, Eriocaulon aquaticum,0.059612991
0.2427, Eriophorum angustifolium,0.383794386
0.1918, Eriophorum gracile,0.322109599
0.9146, Eriophorum vaginatum,0.978641068
0.002, Eriophorum virginicum,0.009610667
0.0011, Eriophorum viridicarinatum,0.006080368
0.0013, Eryngium yuccifolium,0.006972024
0.044, Erysimum capitatum,0.106569892
0.1397, Erythronium albidum,0.247288212
0.0911, Erythronium americanum,0.174455048
1.00E-04, Euonymus americanus,0.000984699
0.0618, Euonymus atropurpureus,0.141324365
0.4715, Euonymus obovatus,0.615683333
0.3037, Eupatorium altissimum,0.46182903
0.5436, Eupatorium perfoliatum,0.686452137
0, Eupatorium serotinum,0
0.008, Eupatorium sessilifolium,0.026795539
0.1905, Euphorbia commutata,0.320823364
0.1027, Euphorbia corollata,0.192375676
0.5867, Euphorbia cyathophora,0.710984129
0.137, Euphorbia dentata,0.243705824
0.0701, Euphorbia glyptosperma,0.150740095
0, Euphorbia humistrata,0
0.3803, Euphorbia maculata,0.529059414
0.8604, Euphorbia nutans,0.946545055
0.0701, Euphorbia polygonifolia,0.150740095
0.0371, Euphorbia serpens,0.091832692
0.0524, Euphorbia spathulata,0.123109257
1, Euphorbia vermiculata,1
0.5867, Eurybia furcata,0.710984129
0.0111, Eurybia macrophylla,0.034075298
