<<<<<<< HEAD
"speciesName","padj","model"
" Decodon verticillatus",0.532259603,"a Climate Segment b Climate Segment"
" Dichanthelium latifolium",0.104675325,"a Climate Segment b Climate Segment"
" Drosera rotundifolia",0.546742857,"a Climate Segment b Climate Segment"
" Dryopteris carthusiana",0.550552131,"a Climate Segment b Climate Segment"
" Dryopteris cristata",0.228,"a Climate Segment b Climate Segment"
" Echinocystis lobata",0.317486897,"a Climate Segment b Climate Segment"
" Eleocharis erythropoda",0.165447012,"a Climate Segment b Climate Segment"
" Elymus canadensis",0.05511762,"a Climate Segment b Climate Segment"
" Elymus repens",0.595293964,"a Climate Segment b Climate Segment"
" Epilobium leptophyllum",0.669638835,"a Climate Segment b Climate Segment"
" Equisetum fluviatile",0.228,"a Climate Segment b Climate Segment"
" Eutrochium maculatum",0.423239389,"a Climate Segment b Climate Segment"
" Heteranthera dubia",0.534621782,"a Climate Segment b Climate Segment"
" Hordeum jubatum",0.530348259,"a Climate Segment b Climate Segment"
" Lemna trisulca",0.837985852,"a Climate Segment b Climate Segment"
" Luzula multiflora",0.08384141,"a Climate Segment b Climate Segment"
" Micranthes pensylvanica",0.232374406,"a Climate Segment b Climate Segment"
" Parnassia glauca",0.874902087,"a Climate Segment b Climate Segment"
" Pedicularis lanceolata",0.176760902,"a Climate Segment b Climate Segment"
" Polygala verticillata",0.330258176,"a Climate Segment b Climate Segment"
" Prunus virginiana",0.400869506,"a Climate Segment b Climate Segment"
" Ribes americanum",0.781356522,"a Climate Segment b Climate Segment"
" Rubus idaeus",0.546742857,"a Climate Segment b Climate Segment"
" Rumex britannica",0.35072,"a Climate Segment b Climate Segment"
" Salix petiolaris",0.443780339,"a Climate Segment b Climate Segment"
" Sanicula marilandica",0.253542238,"a Climate Segment b Climate Segment"
" Solidago ohioensis",0.682871729,"a Climate Segment b Climate Segment"
" Solidago patula",0.9546,"a Climate Segment b Climate Segment"
" Solidago riddellii",0.193197782,"a Climate Segment b Climate Segment"
" Solidago uliginosa",0.664453809,"a Climate Segment b Climate Segment"
" Sonchus arvensis",0.485888,"a Climate Segment b Climate Segment"
" Sparganium eurycarpum",0.466281135,"a Climate Segment b Climate Segment"
" Symphyotrichum firmum",0.382599317,"a Climate Segment b Climate Segment"
" Utricularia gibba",0.495053821,"a Climate Segment b Climate Segment"
" Viburnum lentago",0.621865798,"a Climate Segment b Climate Segment"
" Viburnum rafinesquianum",0.646083117,"a Climate Segment b Climate Segment"
" Viola labradorica",0.546742857,"a Climate Segment b Climate Segment"
" Symphyotrichum prenanthoides",0.3579,"d Climate Segment e Climate Segment"
" Acalypha ostryifolia",0.2944032,"e Climate Segment f Climate Segment"
" Actaea racemosa",0.731600672,"e Climate Segment f Climate Segment"
" Agrostis elliottiana",0.072205714,"e Climate Segment f Climate Segment"
" Amorpha fruticosa",0.488464516,"e Climate Segment f Climate Segment"
" Andropogon gyrans",0.626465979,"e Climate Segment f Climate Segment"
" Aristida dichotoma",0.135529412,"e Climate Segment f Climate Segment"
" Arundinaria gigantea",0.201325714,"e Climate Segment f Climate Segment"
" Asclepias perennis",0.398574046,"e Climate Segment f Climate Segment"
" Baptisia australis",0.873701299,"e Climate Segment f Climate Segment"
" Bignonia capreolata",0.482395691,"e Climate Segment f Climate Segment"
" Calystegia catesbeiana",0.850530293,"e Climate Segment f Climate Segment"
" Carex albolutescens",0.248437267,"e Climate Segment f Climate Segment"
" Carex annectens",0.529182979,"e Climate Segment f Climate Segment"
" Carex caroliniana",0.684273935,"e Climate Segment f Climate Segment"
" Carex crus-corvi",0.411981818,"e Climate Segment f Climate Segment"
" Carex festucacea",0.581282496,"e Climate Segment f Climate Segment"
" Carex glaucodea",0.068865542,"e Climate Segment f Climate Segment"
" Carex louisianica",0.850187276,"e Climate Segment f Climate Segment"
" Carex typhina",0.721078378,"e Climate Segment f Climate Segment"
" Carex willdenowii",0.0624,"e Climate Segment f Climate Segment"
" Castanea dentata",0.27476129,"e Climate Segment f Climate Segment"
" Celtis laevigata",0.444713043,"e Climate Segment f Climate Segment"
" Celtis tenuifolia",0.719130964,"e Climate Segment f Climate Segment"
" Chasmanthium latifolium",0.224902737,"e Climate Segment f Climate Segment"
" Cirsium carolinianum",0.928387801,"e Climate Segment f Climate Segment"
" Clitoria mariana",0.741889933,"e Climate Segment f Climate Segment"
" Coleataenia anceps",0.174361062,"e Climate Segment f Climate Segment"
" Commelina diffusa",0.204267834,"e Climate Segment f Climate Segment"
" Commelina virginica",0.068127536,"e Climate Segment f Climate Segment"
" Cornus foemina",0.493395349,"e Climate Segment f Climate Segment"
" Corydalis flavula",0.565296167,"e Climate Segment f Climate Segment"
" Cuphea viscosissima",0.23283,"e Climate Segment f Climate Segment"
" Cuscuta campestris",0.9671,"e Climate Segment f Climate Segment"
" Cuscuta compacta",0.27476129,"e Climate Segment f Climate Segment"
" Cyperus flavescens",0.402450286,"e Climate Segment f Climate Segment"
" Cyperus pseudovegetus",0.836447368,"e Climate Segment f Climate Segment"
" Desmanthus illinoensis",0.696481633,"e Climate Segment f Climate Segment"
" Desmodium laevigatum",0.928387801,"e Climate Segment f Climate Segment"
" Desmodium nuttallii",0.444713043,"e Climate Segment f Climate Segment"
" Dichanthelium laxiflorum",0.27476129,"e Climate Segment f Climate Segment"
" Dinebra panicea",0.444713043,"e Climate Segment f Climate Segment"
" Diospyros virginiana",0.234162162,"e Climate Segment f Climate Segment"
" Echinodorus cordifolius",0.836447368,"e Climate Segment f Climate Segment"
" Eragrostis capillaris",0.611800692,"e Climate Segment f Climate Segment"
" Euonymus americanus",0.383073359,"e Climate Segment f Climate Segment"
" Frangula caroliniana",0.928387801,"e Climate Segment f Climate Segment"
" Gamochaeta purpurea",0.622601379,"e Climate Segment f Climate Segment"
" Gillenia stipulata",0.208315835,"e Climate Segment f Climate Segment"
" Hasteola suaveolens",0.634043836,"e Climate Segment f Climate Segment"
" Heteranthera reniformis",0.53474709,"e Climate Segment f Climate Segment"
" Heuchera villosa",0.928387801,"e Climate Segment f Climate Segment"
" Hylodesmum pauciflorum",0.205184279,"e Climate Segment f Climate Segment"
" Hypericum drummondii",0.124657208,"e Climate Segment f Climate Segment"
" Hypericum hypericoides",0.130884354,"e Climate Segment f Climate Segment"
" Iresine rhizomatosa",0.836447368,"e Climate Segment f Climate Segment"
" Iris cristata",0.680649829,"e Climate Segment f Climate Segment"
" Isotrema tomentosa",0.836447368,"e Climate Segment f Climate Segment"
" Krigia dandelion",0.444713043,"e Climate Segment f Climate Segment"
" Lechea tenuifolia",0.723545363,"e Climate Segment f Climate Segment"
" Lespedeza repens",0.181152423,"e Climate Segment f Climate Segment"
" Lespedeza violacea",0.095486512,"e Climate Segment f Climate Segment"
" Linum medium",0.630528988,"e Climate Segment f Climate Segment"
" Lobelia puberula",0.626465979,"e Climate Segment f Climate Segment"
" Ludwigia decurrens",0.836447368,"e Climate Segment f Climate Segment"
" Lysimachia minima",0.27476129,"e Climate Segment f Climate Segment"
" Manfreda virginica",0.27476129,"e Climate Segment f Climate Segment"
" Matelea obliqua",0.731256566,"e Climate Segment f Climate Segment"
" Melica mutica",0.836447368,"e Climate Segment f Climate Segment"
" Melothria pendula",0.836447368,"e Climate Segment f Climate Segment"
" Micranthes virginiensis",0.928387801,"e Climate Segment f Climate Segment"
" Monarda clinopodia",0.27476129,"e Climate Segment f Climate Segment"
" Muhlenbergia bushii",0.617749223,"e Climate Segment f Climate Segment"
" Obolaria virginica",0.398574046,"e Climate Segment f Climate Segment"
" Ophioglossum vulgatum",0.450340687,"e Climate Segment f Climate Segment"
" Orbexilum pedunculatum",0.27476129,"e Climate Segment f Climate Segment"
" Panicum flexile",0.1699051,"e Climate Segment f Climate Segment"
" Paronychia fastigiata",0.276217304,"e Climate Segment f Climate Segment"
" Paspalum laeve",0.087213176,"e Climate Segment f Climate Segment"
" Paspalum pubiflorum",0.928387801,"e Climate Segment f Climate Segment"
" Penstemon alluviorum",0.710936949,"e Climate Segment f Climate Segment"
" Penstemon deamii",0.873701299,"e Climate Segment f Climate Segment"
" Phlox amplifolia",0.928387801,"e Climate Segment f Climate Segment"
" Phyllanthus caroliniensis",0.13809148,"e Climate Segment f Climate Segment"
" Planodes virginicum",0.303920319,"e Climate Segment f Climate Segment"
" Platanthera peramoena",0.4953,"e Climate Segment f Climate Segment"
" Pluchea camphorata",0.27476129,"e Climate Segment f Climate Segment"
" Poa autumnalis",0.405955894,"e Climate Segment f Climate Segment"
" Poa chapmaniana",0.439472626,"e Climate Segment f Climate Segment"
" Polygala ambigua",0.299295808,"e Climate Segment f Climate Segment"
" Pycnanthemum loomisii",0.336158755,"e Climate Segment f Climate Segment"
" Pycnanthemum pycnanthemoides",0.128203636,"e Climate Segment f Climate Segment"
" Quercus falcata",0.560402094,"e Climate Segment f Climate Segment"
" Quercus marilandica",0.087594366,"e Climate Segment f Climate Segment"
" Quercus michauxii",0.154123831,"e Climate Segment f Climate Segment"
" Quercus montana",0.223898089,"e Climate Segment f Climate Segment"
" Quercus shumardii",0.850072131,"e Climate Segment f Climate Segment"
" Ranunculus micranthus",0.334259649,"e Climate Segment f Climate Segment"
" Rubus argutus",0.208315835,"e Climate Segment f Climate Segment"
" Rubus laudatus",0.364967442,"e Climate Segment f Climate Segment"
" Ruellia caroliniensis",0.496091103,"e Climate Segment f Climate Segment"
" Sagittaria montevidensis",0.357679223,"e Climate Segment f Climate Segment"
" Salix caroliniana",0.836447368,"e Climate Segment f Climate Segment"
" Salvia lyrata",0.057174384,"e Climate Segment f Climate Segment"
" Samolus parviflorus",0.452005776,"e Climate Segment f Climate Segment"
" Scirpus georgianus",0.060269268,"e Climate Segment f Climate Segment"
" Scleria oligantha",0.836447368,"e Climate Segment f Climate Segment"
" Scutellaria elliptica",0.837123153,"e Climate Segment f Climate Segment"
" Scutellaria nervosa",0.251009446,"e Climate Segment f Climate Segment"
" Sericocarpus linifolius",0.850187276,"e Climate Segment f Climate Segment"
" Smallanthus uvedalius",0.208315835,"e Climate Segment f Climate Segment"
" Smilax bona-nox",0.836447368,"e Climate Segment f Climate Segment"
" Smilax pulverulenta",0.43913271,"e Climate Segment f Climate Segment"
" Smilax rotundifolia",0.458460432,"e Climate Segment f Climate Segment"
" Solidago erecta",0.53474709,"e Climate Segment f Climate Segment"
" Solidago sphacelata",0.155306667,"e Climate Segment f Climate Segment"
" Stellaria corei",0.528349556,"e Climate Segment f Climate Segment"
" Stylosanthes biflora",0.223843404,"e Climate Segment f Climate Segment"
" Symphoricarpos orbiculatus",0.664106667,"e Climate Segment f Climate Segment"
" Symphyotrichum racemosum",0.24857284,"e Climate Segment f Climate Segment"
" Symphyotrichum undulatum",0.710936949,"e Climate Segment f Climate Segment"
" Taxodium distichum",0.836447368,"e Climate Segment f Climate Segment"
" Tipularia discolor",0.53474709,"e Climate Segment f Climate Segment"
" Tragia cordata",0.850187276,"e Climate Segment f Climate Segment"
" Triadenum tubulosum",0.496091103,"e Climate Segment f Climate Segment"
" Ulmus alata",0.175353642,"e Climate Segment f Climate Segment"
" Uvularia sessilifolia",0.243644813,"e Climate Segment f Climate Segment"
" Vaccinium stamineum",0.330842353,"e Climate Segment f Climate Segment"
" Viburnum rufidulum",0.101704828,"e Climate Segment f Climate Segment"
" Vitis palmata",0.836447368,"e Climate Segment f Climate Segment"
" Bidens trichosperma",0.469003215,"a Climate Segment c Climate Segment"
" Cirsium discolor",0.5804,"a Climate Segment c Climate Segment"
" Floerkea proserpinacoides",0.485277689,"a Climate Segment c Climate Segment"
