,county,segment,speciesName,n,climatesp
27,Adams,c Climate Segment,Carex squarrosa,1,c Climate Segment Divide Carex squarrosa
28,Adams,c Climate Segment,Salix eriocephala,2,c Climate Segment Divide Salix eriocephala
29,Adams,c Climate Segment,Penthorum sedoides,1,c Climate Segment Divide Penthorum sedoides
30,Adams,c Climate Segment,Cyperus odoratus,1,c Climate Segment Divide Cyperus odoratus
31,Adams,c Climate Segment,Erigenia bulbosa,1,c Climate Segment Divide Erigenia bulbosa
32,Adams,c Climate Segment,Erigeron annuus,1,c Climate Segment Divide Erigeron annuus
33,Adams,c Climate Segment,Samolus parviflorus,1,c Climate Segment Divide Samolus parviflorus
34,Adams,c Climate Segment,Carpinus caroliniana,1,c Climate Segment Divide Carpinus caroliniana
35,Adams,c Climate Segment,Carya glabra,1,c Climate Segment Divide Carya glabra
36,Adams,c Climate Segment,Carex hirtifolia,1,c Climate Segment Divide Carex hirtifolia
37,Adams,c Climate Segment,Parthenocissus quinquefolia,1,c Climate Segment Divide Parthenocissus quinquefolia
38,Adams,c Climate Segment,Carex shortiana,1,c Climate Segment Divide Carex shortiana
39,Adams,c Climate Segment,Salix amygdaloides,1,c Climate Segment Divide Salix amygdaloides
40,Adams,c Climate Segment,Carex sparganioides,1,c Climate Segment Divide Carex sparganioides
41,Adams,c Climate Segment,Ranunculus hispidus,5,c Climate Segment Divide Ranunculus hispidus
42,Adams,c Climate Segment,Cuscuta gronovii,1,c Climate Segment Divide Cuscuta gronovii
43,Adams,c Climate Segment,Persicaria pensylvanica,2,c Climate Segment Divide Persicaria pensylvanica
44,Adams,c Climate Segment,Symphyotrichum urophyllum,1,c Climate Segment Divide Symphyotrichum urophyllum
45,Adams,c Climate Segment,Carex crus-corvi,1,c Climate Segment Divide Carex crus-corvi
46,Adams,c Climate Segment,Nyssa sylvatica,6,c Climate Segment Divide Nyssa sylvatica
47,Adams,c Climate Segment,Carex gracilescens,1,c Climate Segment Divide Carex gracilescens
48,Adams,c Climate Segment,Carex gracillima,1,c Climate Segment Divide Carex gracillima
49,Adams,c Climate Segment,Carex grayi,1,c Climate Segment Divide Carex grayi
50,Adams,c Climate Segment,Rumex altissimus,1,c Climate Segment Divide Rumex altissimus
51,Adams,c Climate Segment,Sagittaria brevirostra,2,c Climate Segment Divide Sagittaria brevirostra
52,Adams,c Climate Segment,Rosa setigera,3,c Climate Segment Divide Rosa setigera
53,Adams,c Climate Segment,Elymus hystrix,1,c Climate Segment Divide Elymus hystrix
54,Adams,c Climate Segment,Eleocharis obtusa,1,c Climate Segment Divide Eleocharis obtusa
55,Adams,c Climate Segment,Penstemon calycosus,1,c Climate Segment Divide Penstemon calycosus
56,Adams,c Climate Segment,Cyperus esculentus,1,c Climate Segment Divide Cyperus esculentus
57,Adams,c Climate Segment,Endodeca serpentaria,1,c Climate Segment Divide Endodeca serpentaria
58,Adams,c Climate Segment,Persicaria punctata,1,c Climate Segment Divide Persicaria punctata
59,Adams,c Climate Segment,Persicaria virginiana,1,c Climate Segment Divide Persicaria virginiana
60,Adams,c Climate Segment,Phlox divaricata,1,c Climate Segment Divide Phlox divaricata
61,Adams,c Climate Segment,Phryma leptostachya,1,c Climate Segment Divide Phryma leptostachya
62,Adams,c Climate Segment,Phyla lanceolata,1,c Climate Segment Divide Phyla lanceolata
63,Adams,c Climate Segment,Packera obovata,1,c Climate Segment Divide Packera obovata
64,Adams,c Climate Segment,Rosa palustris,1,c Climate Segment Divide Rosa palustris
65,Adams,c Climate Segment,Dichanthelium latifolium,1,c Climate Segment Divide Dichanthelium latifolium
66,Adams,c Climate Segment,Dryopteris carthusiana,1,c Climate Segment Divide Dryopteris carthusiana
67,Adams,c Climate Segment,Trillium flexipes,1,c Climate Segment Divide Trillium flexipes
68,Adams,c Climate Segment,Cuscuta cephalanthi,1,c Climate Segment Divide Cuscuta cephalanthi
69,Adams,c Climate Segment,Elymus virginicus,3,c Climate Segment Divide Elymus virginicus
70,Adams,c Climate Segment,Stellaria longifolia,1,c Climate Segment Divide Stellaria longifolia
71,Adams,c Climate Segment,Symphyotrichum lateriflorum,3,c Climate Segment Divide Symphyotrichum lateriflorum
72,Adams,c Climate Segment,Symphyotrichum novae-angliae,1,c Climate Segment Divide Symphyotrichum novae-angliae
73,Adams,c Climate Segment,Symphyotrichum shortii,1,c Climate Segment Divide Symphyotrichum shortii
74,Adams,c Climate Segment,Oenothera gaura,1,c Climate Segment Divide Oenothera gaura
75,Adams,c Climate Segment,Diarrhena obovata,1,c Climate Segment Divide Diarrhena obovata
76,Adams,c Climate Segment,Dichanthelium acuminatum,2,c Climate Segment Divide Dichanthelium acuminatum
77,Adams,c Climate Segment,Rosa carolina,5,c Climate Segment Divide Rosa carolina
78,Adams,c Climate Segment,Quercus rubra,2,c Climate Segment Divide Quercus rubra
79,Adams,c Climate Segment,Toxicodendron radicans,1,c Climate Segment Divide Toxicodendron radicans
80,Adams,c Climate Segment,Cercis canadensis,1,c Climate Segment Divide Cercis canadensis
81,Adams,c Climate Segment,Trillium sessile,1,c Climate Segment Divide Trillium sessile
82,Adams,c Climate Segment,Staphylea trifolia,1,c Climate Segment Divide Staphylea trifolia
83,Adams,c Climate Segment,Urtica dioica,1,c Climate Segment Divide Urtica dioica
84,Adams,c Climate Segment,Uvularia grandiflora,1,c Climate Segment Divide Uvularia grandiflora
85,Adams,c Climate Segment,Epifagus virginiana,1,c Climate Segment Divide Epifagus virginiana
86,Adams,c Climate Segment,Verbena urticifolia,1,c Climate Segment Divide Verbena urticifolia
87,Adams,c Climate Segment,Verbesina alternifolia,1,c Climate Segment Divide Verbesina alternifolia
88,Adams,c Climate Segment,Erigeron philadelphicus,1,c Climate Segment Divide Erigeron philadelphicus
89,Adams,c Climate Segment,Dicentra cucullaria,1,c Climate Segment Divide Dicentra cucullaria
90,Adams,c Climate Segment,Ostrya virginiana,1,c Climate Segment Divide Ostrya virginiana
91,Adams,c Climate Segment,Oxalis stricta,1,c Climate Segment Divide Oxalis stricta
92,Adams,c Climate Segment,Cephalanthus occidentalis,1,c Climate Segment Divide Cephalanthus occidentalis
93,Adams,c Climate Segment,Quercus shumardii,1,c Climate Segment Divide Quercus shumardii
94,Adams,c Climate Segment,Ranunculus abortivus,1,c Climate Segment Divide Ranunculus abortivus
95,Adams,c Climate Segment,Elymus villosus,2,c Climate Segment Divide Elymus villosus
96,Adams,c Climate Segment,Campanulastrum americanum,1,c Climate Segment Divide Campanulastrum americanum
97,Adams,c Climate Segment,Cardamine bulbosa,1,c Climate Segment Divide Cardamine bulbosa
98,Adams,c Climate Segment,Carex bromoides,1,c Climate Segment Divide Carex bromoides
99,Adams,c Climate Segment,Carex cristatella,1,c Climate Segment Divide Carex cristatella
100,Adams,c Climate Segment,Muhlenbergia mexicana,1,c Climate Segment Divide Muhlenbergia mexicana
101,Adams,c Climate Segment,Morus rubra,1,c Climate Segment Divide Morus rubra
102,Adams,c Climate Segment,Sanguinaria canadensis,1,c Climate Segment Divide Sanguinaria canadensis
103,Adams,c Climate Segment,Physalis longifolia,1,c Climate Segment Divide Physalis longifolia
104,Adams,c Climate Segment,Celastrus scandens,1,c Climate Segment Divide Celastrus scandens
105,Adams,c Climate Segment,Ptelea trifoliata,1,c Climate Segment Divide Ptelea trifoliata
106,Adams,c Climate Segment,Acer nigrum,1,c Climate Segment Divide Acer nigrum
107,Adams,c Climate Segment,Acer saccharinum,1,c Climate Segment Divide Acer saccharinum
108,Adams,c Climate Segment,Cryptotaenia canadensis,1,c Climate Segment Divide Cryptotaenia canadensis
109,Adams,c Climate Segment,Achillea millefolium,1,c Climate Segment Divide Achillea millefolium
110,Adams,c Climate Segment,Triosteum aurantiacum,1,c Climate Segment Divide Triosteum aurantiacum
111,Adams,c Climate Segment,Triosteum perfoliatum,1,c Climate Segment Divide Triosteum perfoliatum
112,Adams,c Climate Segment,Agastache nepetoides,1,c Climate Segment Divide Agastache nepetoides
113,Adams,c Climate Segment,Heuchera americana,1,c Climate Segment Divide Heuchera americana
114,Adams,c Climate Segment,Hibiscus laevis,1,c Climate Segment Divide Hibiscus laevis
115,Adams,c Climate Segment,Onoclea sensibilis,1,c Climate Segment Divide Onoclea sensibilis
116,Adams,c Climate Segment,Osmorhiza claytonii,1,c Climate Segment Divide Osmorhiza claytonii
117,Adams,c Climate Segment,Thaspium trifoliatum,1,c Climate Segment Divide Thaspium trifoliatum
118,Adams,c Climate Segment,Tilia americana,1,c Climate Segment Divide Tilia americana
119,Adams,c Climate Segment,Scirpus georgianus,1,c Climate Segment Divide Scirpus georgianus
120,Adams,c Climate Segment,Scirpus pedicellatus,1,c Climate Segment Divide Scirpus pedicellatus
121,Adams,c Climate Segment,Acer saccharum,1,c Climate Segment Divide Acer saccharum
122,Adams,c Climate Segment,Scutellaria ovata,1,c Climate Segment Divide Scutellaria ovata
123,Adams,c Climate Segment,Senna hebecarpa,1,c Climate Segment Divide Senna hebecarpa
124,Adams,c Climate Segment,Silene virginica,1,c Climate Segment Divide Silene virginica
125,Adams,c Climate Segment,Silphium perfoliatum,1,c Climate Segment Divide Silphium perfoliatum
126,Adams,c Climate Segment,Solanum ptychanthum,2,c Climate Segment Divide Solanum ptychanthum
127,Adams,c Climate Segment,Solidago caesia,1,c Climate Segment Divide Solidago caesia
128,Adams,c Climate Segment,Vernonia gigantea,2,c Climate Segment Divide Vernonia gigantea
129,Adams,c Climate Segment,Veronica scutellata,1,c Climate Segment Divide Veronica scutellata
130,Adams,c Climate Segment,Sanicula canadensis,1,c Climate Segment Divide Sanicula canadensis
131,Adams,c Climate Segment,Sanicula trifoliata,1,c Climate Segment Divide Sanicula trifoliata
132,Adams,c Climate Segment,Prunus serotina,1,c Climate Segment Divide Prunus serotina
133,Adams,c Climate Segment,Quercus imbricaria,2,c Climate Segment Divide Quercus imbricaria
134,Adams,c Climate Segment,Quercus macrocarpa,1,c Climate Segment Divide Quercus macrocarpa
135,Adams,c Climate Segment,Cardamine concatenata,1,c Climate Segment Divide Cardamine concatenata
136,Adams,c Climate Segment,Bromus pubescens,1,c Climate Segment Divide Bromus pubescens
137,Adams,c Climate Segment,Maianthemum racemosum,1,c Climate Segment Divide Maianthemum racemosum
138,Adams,c Climate Segment,Geum laciniatum,1,c Climate Segment Divide Geum laciniatum
139,Adams,c Climate Segment,Geum vernum,1,c Climate Segment Divide Geum vernum
140,Adams,c Climate Segment,Gleditsia triacanthos,1,c Climate Segment Divide Gleditsia triacanthos
141,Adams,c Climate Segment,Glyceria septentrionalis,1,c Climate Segment Divide Glyceria septentrionalis
142,Adams,c Climate Segment,Glyceria striata,1,c Climate Segment Divide Glyceria striata
143,Adams,c Climate Segment,Thalictrum revolutum,1,c Climate Segment Divide Thalictrum revolutum
144,Adams,c Climate Segment,Thaspium chapmanii,1,c Climate Segment Divide Thaspium chapmanii
145,Adams,c Climate Segment,Acalypha rhomboidea,1,c Climate Segment Divide Acalypha rhomboidea
146,Adams,c Climate Segment,Hedeoma pulegioides,1,c Climate Segment Divide Hedeoma pulegioides
147,Adams,c Climate Segment,Helenium autumnale,1,c Climate Segment Divide Helenium autumnale
148,Adams,c Climate Segment,Helianthus decapetalus,1,c Climate Segment Divide Helianthus decapetalus
149,Adams,c Climate Segment,Helianthus tuberosus,1,c Climate Segment Divide Helianthus tuberosus
150,Adams,c Climate Segment,Heliopsis helianthoides,1,c Climate Segment Divide Heliopsis helianthoides
151,Adams,c Climate Segment,Adiantum pedatum,1,c Climate Segment Divide Adiantum pedatum
152,Adams,c Climate Segment,Aesculus glabra,1,c Climate Segment Divide Aesculus glabra
153,Adams,c Climate Segment,Circaea canadensis,1,c Climate Segment Divide Circaea canadensis
154,Adams,c Climate Segment,Claytonia virginica,1,c Climate Segment Divide Claytonia virginica
155,Adams,c Climate Segment,Ageratina altissima,1,c Climate Segment Divide Ageratina altissima
156,Adams,c Climate Segment,Agrimonia rostellata,1,c Climate Segment Divide Agrimonia rostellata
157,Adams,c Climate Segment,Euonymus atropurpureus,1,c Climate Segment Divide Euonymus atropurpureus
158,Adams,c Climate Segment,Euonymus obovatus,1,c Climate Segment Divide Euonymus obovatus
159,Adams,c Climate Segment,Physostegia virginiana,2,c Climate Segment Divide Physostegia virginiana
160,Adams,c Climate Segment,Phytolacca americana,1,c Climate Segment Divide Phytolacca americana
161,Adams,c Climate Segment,Scutellaria nervosa,1,c Climate Segment Divide Scutellaria nervosa
162,Adams,c Climate Segment,Chaerophyllum procumbens,1,c Climate Segment Divide Chaerophyllum procumbens
163,Adams,c Climate Segment,Chelone glabra,1,c Climate Segment Divide Chelone glabra
164,Adams,c Climate Segment,Cicuta maculata,1,c Climate Segment Divide Cicuta maculata
165,Adams,c Climate Segment,Cinna arundinacea,1,c Climate Segment Divide Cinna arundinacea
166,Adams,c Climate Segment,Mentha canadensis,1,c Climate Segment Divide Mentha canadensis
167,Adams,c Climate Segment,Mitella diphylla,1,c Climate Segment Divide Mitella diphylla
168,Adams,c Climate Segment,Solidago canadensis,2,c Climate Segment Divide Solidago canadensis
169,Adams,c Climate Segment,Solidago flexicaulis,1,c Climate Segment Divide Solidago flexicaulis
170,Adams,c Climate Segment,Solidago ulmifolia,2,c Climate Segment Divide Solidago ulmifolia
171,Adams,c Climate Segment,Quercus palustris,1,c Climate Segment Divide Quercus palustris
172,Adams,c Climate Segment,Galium triflorum,1,c Climate Segment Divide Galium triflorum
173,Adams,c Climate Segment,Crataegus mollis,1,c Climate Segment Divide Crataegus mollis
174,Adams,c Climate Segment,Crataegus pruinosa,2,c Climate Segment Divide Crataegus pruinosa
175,Adams,c Climate Segment,Geum canadense,1,c Climate Segment Divide Geum canadense
176,Adams,c Climate Segment,Lycopus rubellus,1,c Climate Segment Divide Lycopus rubellus
177,Adams,c Climate Segment,Lysimachia ciliata,2,c Climate Segment Divide Lysimachia ciliata
178,Adams,c Climate Segment,Malus coronaria,1,c Climate Segment Divide Malus coronaria
179,Adams,c Climate Segment,Festuca subverticillata,2,c Climate Segment Divide Festuca subverticillata
180,Adams,c Climate Segment,Floerkea proserpinacoides,1,c Climate Segment Divide Floerkea proserpinacoides
181,Adams,c Climate Segment,Moehringia lateriflora,1,c Climate Segment Divide Moehringia lateriflora
182,Adams,c Climate Segment,Comandra umbellata,1,c Climate Segment Divide Comandra umbellata
183,Adams,c Climate Segment,Hordeum jubatum,1,c Climate Segment Divide Hordeum jubatum
184,Adams,c Climate Segment,Gratiola neglecta,1,c Climate Segment Divide Gratiola neglecta
185,Adams,c Climate Segment,Gymnocladus dioicus,1,c Climate Segment Divide Gymnocladus dioicus
186,Adams,c Climate Segment,Eupatorium serotinum,1,c Climate Segment Divide Eupatorium serotinum
187,Adams,c Climate Segment,Euphorbia nutans,1,c Climate Segment Divide Euphorbia nutans
188,Adams,c Climate Segment,Pilea pumila,1,c Climate Segment Divide Pilea pumila
189,Adams,c Climate Segment,Eutrochium purpureum,2,c Climate Segment Divide Eutrochium purpureum
190,Adams,c Climate Segment,Fagus grandifolia,1,c Climate Segment Divide Fagus grandifolia
191,Adams,c Climate Segment,Fallopia scandens,1,c Climate Segment Divide Fallopia scandens
192,Adams,c Climate Segment,Bromus latiglumis,1,c Climate Segment Divide Bromus latiglumis
193,Adams,c Climate Segment,Blephilia hirsuta,1,c Climate Segment Divide Blephilia hirsuta
194,Adams,c Climate Segment,Fraxinus americana,1,c Climate Segment Divide Fraxinus americana
195,Adams,c Climate Segment,Polemonium reptans,1,c Climate Segment Divide Polemonium reptans
196,Adams,c Climate Segment,Conyza canadensis,1,c Climate Segment Divide Conyza canadensis
197,Adams,c Climate Segment,Agrostis hyemalis,1,c Climate Segment Divide Agrostis hyemalis
198,Adams,c Climate Segment,Agrostis perennans,1,c Climate Segment Divide Agrostis perennans
199,Adams,c Climate Segment,Cornus obliqua,1,c Climate Segment Divide Cornus obliqua
200,Adams,c Climate Segment,Stachys hispida,2,c Climate Segment Divide Stachys hispida
201,Adams,c Climate Segment,Stachys tenuifolia,1,c Climate Segment Divide Stachys tenuifolia
202,Adams,c Climate Segment,Calystegia silvatica,1,c Climate Segment Divide Calystegia silvatica
203,Adams,c Climate Segment,Luzula echinata,1,c Climate Segment Divide Luzula echinata
204,Adams,c Climate Segment,Brachyelytrum erectum,1,c Climate Segment Divide Brachyelytrum erectum
205,Adams,c Climate Segment,Plantago rugelii,1,c Climate Segment Divide Plantago rugelii
206,Adams,c Climate Segment,Poa sylvestris,1,c Climate Segment Divide Poa sylvestris
207,Adams,c Climate Segment,Podophyllum peltatum,1,c Climate Segment Divide Podophyllum peltatum
208,Adams,c Climate Segment,Viola sororia,1,c Climate Segment Divide Viola sororia
209,Adams,c Climate Segment,Fraxinus pennsylvanica,1,c Climate Segment Divide Fraxinus pennsylvanica
210,Adams,c Climate Segment,Cornus drummondii,1,c Climate Segment Divide Cornus drummondii
211,Adams,c Climate Segment,Spiraea alba,1,c Climate Segment Divide Spiraea alba
212,Adams,c Climate Segment,Hydrophyllum macrophyllum,1,c Climate Segment Divide Hydrophyllum macrophyllum
213,Adams,c Climate Segment,Alisma subcordatum,1,c Climate Segment Divide Alisma subcordatum
214,Adams,c Climate Segment,Allium canadense,1,c Climate Segment Divide Allium canadense
215,Adams,c Climate Segment,Euthamia graminifolia,1,c Climate Segment Divide Euthamia graminifolia
216,Adams,c Climate Segment,Viburnum prunifolium,1,c Climate Segment Divide Viburnum prunifolium
217,Adams,c Climate Segment,Viburnum rafinesquianum,1,c Climate Segment Divide Viburnum rafinesquianum
218,Adams,c Climate Segment,Bidens tripartita,1,c Climate Segment Divide Bidens tripartita
219,Adams,c Climate Segment,Bidens vulgata,1,c Climate Segment Divide Bidens vulgata
220,Adams,c Climate Segment,Viola rostrata,1,c Climate Segment Divide Viola rostrata
221,Adams,c Climate Segment,Anemone virginiana,1,c Climate Segment Divide Anemone virginiana
222,Adams,c Climate Segment,Xanthium strumarium,1,c Climate Segment Divide Xanthium strumarium
223,Adams,c Climate Segment,Fraxinus profunda,1,c Climate Segment Divide Fraxinus profunda
224,Adams,c Climate Segment,Hydrastis canadensis,1,c Climate Segment Divide Hydrastis canadensis
225,Adams,c Climate Segment,Sphenopholis intermedia,1,c Climate Segment Divide Sphenopholis intermedia
226,Adams,c Climate Segment,Galium obtusum,1,c Climate Segment Divide Galium obtusum
227,Adams,c Climate Segment,Cornus racemosa,1,c Climate Segment Divide Cornus racemosa
228,Adams,c Climate Segment,Prunus americana,3,c Climate Segment Divide Prunus americana
229,Adams,c Climate Segment,Lonicera dioica,1,c Climate Segment Divide Lonicera dioica
230,Adams,c Climate Segment,Lobelia siphilitica,1,c Climate Segment Divide Lobelia siphilitica
231,Adams,c Climate Segment,Viburnum acerifolium,1,c Climate Segment Divide Viburnum acerifolium
232,Adams,c Climate Segment,Viola pubescens,1,c Climate Segment Divide Viola pubescens
233,Adams,c Climate Segment,Anemone canadensis,1,c Climate Segment Divide Anemone canadensis
234,Adams,c Climate Segment,Amphicarpaea bracteata,1,c Climate Segment Divide Amphicarpaea bracteata
235,Adams,c Climate Segment,Antennaria parlinii,2,c Climate Segment Divide Antennaria parlinii
236,Adams,c Climate Segment,Polygonatum biflorum,1,c Climate Segment Divide Polygonatum biflorum
237,Adams,c Climate Segment,Galium circaezans,1,c Climate Segment Divide Galium circaezans
238,Adams,c Climate Segment,Polymnia canadensis,1,c Climate Segment Divide Polymnia canadensis
239,Adams,c Climate Segment,Galium concinnum,1,c Climate Segment Divide Galium concinnum
240,Adams,c Climate Segment,Hydrophyllum virginianum,1,c Climate Segment Divide Hydrophyllum virginianum
241,Adams,c Climate Segment,Hylodesmum glutinosum,1,c Climate Segment Divide Hylodesmum glutinosum
242,Adams,c Climate Segment,Hylodesmum nudiflorum,1,c Climate Segment Divide Hylodesmum nudiflorum
243,Adams,c Climate Segment,Veronica serpyllifolia,1,c Climate Segment Divide Veronica serpyllifolia
244,Adams,c Climate Segment,Bidens connata,1,c Climate Segment Divide Bidens connata
245,Adams,c Climate Segment,Bidens discoidea,1,c Climate Segment Divide Bidens discoidea
246,Adams,c Climate Segment,Polygonatum pubescens,2,c Climate Segment Divide Polygonatum pubescens
247,Adams,c Climate Segment,Arisaema dracontium,1,c Climate Segment Divide Arisaema dracontium
248,Adams,c Climate Segment,Impatiens capensis,1,c Climate Segment Divide Impatiens capensis
249,Adams,c Climate Segment,Apocynum androsaemifolium,1,c Climate Segment Divide Apocynum androsaemifolium
250,Adams,c Climate Segment,Populus tremuloides,1,c Climate Segment Divide Populus tremuloides
251,Adams,c Climate Segment,Geranium maculatum,1,c Climate Segment Divide Geranium maculatum
252,Adams,c Climate Segment,Arisaema triphyllum,3,c Climate Segment Divide Arisaema triphyllum
253,Adams,c Climate Segment,Populus heterophylla,1,c Climate Segment Divide Populus heterophylla
254,Adams,c Climate Segment,Hypericum sphaerocarpum,1,c Climate Segment Divide Hypericum sphaerocarpum
255,Adams,c Climate Segment,Apocynum cannabinum,1,c Climate Segment Divide Apocynum cannabinum
256,Adams,c Climate Segment,Lindernia dubia,1,c Climate Segment Divide Lindernia dubia
257,Adams,c Climate Segment,Athyrium filix-femina,1,c Climate Segment Divide Athyrium filix-femina
258,Adams,c Climate Segment,Iris virginica,1,c Climate Segment Divide Iris virginica
259,Adams,c Climate Segment,Lilium michiganense,1,c Climate Segment Divide Lilium michiganense
260,Adams,c Climate Segment,Lactuca canadensis,1,c Climate Segment Divide Lactuca canadensis
261,Adams,c Climate Segment,Lactuca floridana,1,c Climate Segment Divide Lactuca floridana
262,Adams,c Climate Segment,Populus deltoides,1,c Climate Segment Divide Populus deltoides
263,Adams,c Climate Segment,Lespedeza frutescens,1,c Climate Segment Divide Lespedeza frutescens
264,Adams,c Climate Segment,Asimina triloba,1,c Climate Segment Divide Asimina triloba
265,Adams,c Climate Segment,Potentilla simplex,1,c Climate Segment Divide Potentilla simplex
266,Adams,c Climate Segment,Lindera benzoin,1,c Climate Segment Divide Lindera benzoin
267,Adams,c Climate Segment,Ilex verticillata,1,c Climate Segment Divide Ilex verticillata
268,Adams,c Climate Segment,Juncus tenuis,1,c Climate Segment Divide Juncus tenuis
269,Adams,c Climate Segment,Asarum canadense,1,c Climate Segment Divide Asarum canadense
270,Adams,c Climate Segment,Leersia virginica,1,c Climate Segment Divide Leersia virginica
271,Adams,c Climate Segment,Laportea canadensis,1,c Climate Segment Divide Laportea canadensis
272,Adams,c Climate Segment,Leersia oryzoides,1,c Climate Segment Divide Leersia oryzoides
273,Allen,b Climate Segment,Hypericum punctatum,1,b Climate Segment Divide Hypericum punctatum
274,Allen,b Climate Segment,Impatiens pallida,1,b Climate Segment Divide Impatiens pallida
275,Allen,b Climate Segment,Ipomoea pandurata,1,b Climate Segment Divide Ipomoea pandurata
276,Allen,b Climate Segment,Iris virginica,1,b Climate Segment Divide Iris virginica
277,Allen,b Climate Segment,Hypericum majus,1,b Climate Segment Divide Hypericum majus
278,Allen,b Climate Segment,Gratiola neglecta,1,b Climate Segment Divide Gratiola neglecta
279,Allen,b Climate Segment,Hypericum sphaerocarpum,1,b Climate Segment Divide Hypericum sphaerocarpum
280,Allen,b Climate Segment,Jeffersonia diphylla,1,b Climate Segment Divide Jeffersonia diphylla
281,Allen,b Climate Segment,Impatiens capensis,1,b Climate Segment Divide Impatiens capensis
282,Allen,b Climate Segment,Geranium maculatum,1,b Climate Segment Divide Geranium maculatum
283,Allen,b Climate Segment,Hypoxis hirsuta,1,b Climate Segment Divide Hypoxis hirsuta
284,Allen,b Climate Segment,Glyceria striata,1,b Climate Segment Divide Glyceria striata
285,Allen,b Climate Segment,Silphium perfoliatum,1,b Climate Segment Divide Silphium perfoliatum
286,Allen,b Climate Segment,Geum canadense,1,b Climate Segment Divide Geum canadense
287,Allen,b Climate Segment,Galium tinctorium,1,b Climate Segment Divide Galium tinctorium
288,Allen,b Climate Segment,Geum laciniatum,1,b Climate Segment Divide Geum laciniatum
289,Allen,b Climate Segment,Ilex verticillata,2,b Climate Segment Divide Ilex verticillata
290,Allen,b Climate Segment,Sisyrinchium albidum,3,b Climate Segment Divide Sisyrinchium albidum
291,Allen,b Climate Segment,Hydrophyllum macrophyllum,1,b Climate Segment Divide Hydrophyllum macrophyllum
292,Allen,b Climate Segment,Sium suave,1,b Climate Segment Divide Sium suave
293,Allen,b Climate Segment,Geum vernum,2,b Climate Segment Divide Geum vernum
294,Allen,b Climate Segment,Hydrophyllum canadense,1,b Climate Segment Divide Hydrophyllum canadense
295,Allen,b Climate Segment,Glyceria septentrionalis,1,b Climate Segment Divide Glyceria septentrionalis
296,Allen,b Climate Segment,Hedeoma pulegioides,1,b Climate Segment Divide Hedeoma pulegioides
297,Allen,b Climate Segment,Ilex mucronata,1,b Climate Segment Divide Ilex mucronata
298,Allen,b Climate Segment,Glyceria canadensis,1,b Climate Segment Divide Glyceria canadensis
299,Allen,b Climate Segment,Smilax tamnoides,1,b Climate Segment Divide Smilax tamnoides
300,Allen,b Climate Segment,Solidago altissima,1,b Climate Segment Divide Solidago altissima
301,Allen,b Climate Segment,Hydrophyllum virginianum,2,b Climate Segment Divide Hydrophyllum virginianum
302,Allen,b Climate Segment,Hydrocotyle umbellata,1,b Climate Segment Divide Hydrocotyle umbellata
303,Allen,b Climate Segment,Gentianopsis crinita,1,b Climate Segment Divide Gentianopsis crinita
304,Allen,b Climate Segment,Galium aparine,1,b Climate Segment Divide Galium aparine
